A,C,D,I,M,N,P,T,U,V,X,Y,Z
GP,18,U,at_home,2,2,yes,yes,yes,no,4,3,4
GP,17,U,at_home,1,2,no,no,yes,yes,5,3,3
GP,15,U,at_home,1,2,yes,yes,yes,yes,4,3,2
GP,15,U,health,1,3,no,yes,yes,yes,3,2,2
GP,16,U,other,1,2,no,yes,yes,no,4,3,2
GP,16,U,services,1,2,no,yes,yes,yes,5,4,2
GP,16,U,other,1,2,no,yes,yes,yes,4,4,4
GP,17,U,other,2,2,yes,yes,yes,no,4,1,4
GP,15,U,services,1,2,no,yes,yes,yes,4,2,2
GP,15,U,other,1,2,no,yes,yes,yes,5,5,1
GP,15,U,teacher,1,2,no,yes,yes,yes,3,3,3
GP,15,U,services,3,3,no,yes,yes,yes,5,2,2
GP,15,U,health,1,1,no,yes,yes,yes,4,3,3
GP,15,U,teacher,2,2,no,yes,yes,yes,5,4,3
GP,15,U,other,1,3,no,yes,yes,yes,4,5,2
GP,16,U,health,1,1,no,yes,yes,yes,4,4,4
GP,16,U,services,1,3,no,yes,yes,yes,3,2,3
GP,16,U,other,3,2,yes,yes,yes,no,5,3,2
GP,17,U,services,1,1,no,yes,yes,yes,5,5,5
GP,16,U,health,1,1,no,yes,yes,yes,3,1,3
GP,15,U,teacher,1,2,no,yes,yes,yes,4,4,1
GP,15,U,health,1,1,no,yes,yes,yes,5,4,2
GP,16,U,teacher,1,2,no,yes,yes,yes,4,5,1
GP,16,U,other,2,2,no,yes,yes,yes,5,4,4
GP,15,R,services,1,3,yes,yes,yes,yes,4,3,2
GP,16,U,services,1,1,no,no,yes,yes,1,2,2
GP,15,U,other,1,1,no,yes,yes,yes,4,2,2
GP,15,U,health,1,1,no,yes,yes,yes,2,2,4
GP,16,U,services,1,2,yes,yes,yes,yes,5,3,3
GP,16,U,teacher,1,2,no,yes,yes,yes,4,4,5
GP,15,U,health,1,2,no,no,yes,yes,5,4,2
GP,15,U,services,2,2,no,yes,yes,yes,4,3,1
GP,15,R,teacher,1,2,no,yes,yes,yes,4,5,2
GP,15,U,other,1,2,no,no,yes,yes,5,3,2
GP,16,U,other,1,1,no,no,yes,yes,5,4,3
GP,15,U,other,2,1,no,yes,yes,no,3,5,1
GP,15,U,teacher,1,3,no,yes,yes,yes,5,4,3
GP,16,R,other,2,3,no,yes,yes,yes,2,4,3
GP,15,R,services,1,3,yes,yes,yes,yes,4,3,2
GP,15,R,at_home,1,1,yes,yes,yes,no,4,3,1
GP,16,U,other,2,2,no,no,yes,yes,3,3,3
GP,15,U,teacher,1,1,no,no,yes,yes,5,4,3
GP,15,U,services,1,2,no,yes,yes,yes,4,3,3
GP,15,U,services,1,1,yes,yes,yes,yes,5,4,1
GP,16,U,other,2,2,yes,yes,yes,yes,4,3,3
GP,15,U,other,1,2,yes,yes,yes,yes,5,2,2
GP,16,U,other,1,2,no,yes,yes,yes,2,3,5
GP,16,U,health,1,4,no,yes,yes,yes,4,2,2
GP,15,U,teacher,1,2,no,yes,yes,no,4,3,3
GP,15,U,services,1,2,yes,no,yes,yes,4,4,4
GP,16,U,services,3,2,no,yes,yes,yes,4,3,3
GP,15,U,health,1,2,no,yes,yes,yes,4,3,3
GP,15,U,health,2,1,no,yes,yes,no,5,5,5
GP,15,U,services,1,1,yes,yes,yes,yes,3,3,4
GP,15,U,other,1,1,no,yes,yes,yes,5,3,4
GP,16,U,other,1,2,no,yes,yes,yes,5,3,4
GP,15,U,services,1,2,no,yes,yes,yes,4,3,2
GP,15,U,teacher,1,2,no,yes,yes,no,3,2,2
GP,15,U,other,1,2,yes,yes,yes,yes,4,3,2
GP,16,U,services,1,2,no,yes,yes,yes,4,2,3
GP,16,R,health,1,2,no,yes,yes,no,2,4,4
GP,16,U,services,4,1,yes,no,yes,yes,5,5,5
