A,B,E,F,G,H,I,K,N,P,Q,S,U,V,W,X,Y
GP,F,GT3,A,4,4,at_home,course,2,yes,no,no,yes,no,no,4,3
GP,F,GT3,T,1,1,at_home,course,2,no,yes,no,yes,yes,no,5,3
GP,F,LE3,T,1,1,at_home,other,2,yes,no,no,yes,yes,no,4,3
GP,F,GT3,T,4,2,health,home,3,no,yes,yes,yes,yes,yes,3,2
GP,F,GT3,T,3,3,other,home,2,no,yes,no,yes,no,no,4,3
GP,M,LE3,T,4,3,services,reputation,2,no,yes,yes,yes,yes,no,5,4
GP,M,LE3,T,2,2,other,home,2,no,no,no,yes,yes,no,4,4
GP,F,GT3,A,4,4,other,home,2,yes,yes,no,yes,no,no,4,1
GP,M,LE3,A,3,2,services,home,2,no,yes,no,yes,yes,no,4,2
GP,M,GT3,T,3,4,other,home,2,no,yes,yes,yes,yes,no,5,5
GP,F,GT3,T,4,4,teacher,reputation,2,no,yes,no,yes,yes,no,3,3
GP,F,GT3,T,2,1,services,reputation,3,no,yes,yes,yes,yes,no,5,2
GP,M,LE3,T,4,4,health,course,1,no,yes,yes,yes,yes,no,4,3
GP,M,GT3,T,4,3,teacher,course,2,no,yes,no,yes,yes,no,5,4
GP,M,GT3,A,2,2,other,home,3,no,yes,no,yes,yes,yes,4,5
GP,F,GT3,T,4,4,health,home,1,no,yes,no,yes,yes,no,4,4
GP,F,GT3,T,4,4,services,reputation,3,no,yes,yes,yes,yes,no,3,2
GP,F,GT3,T,3,3,other,reputation,2,yes,yes,yes,yes,no,no,5,3
GP,M,GT3,T,3,2,services,course,1,no,yes,yes,yes,yes,no,5,5
GP,M,LE3,T,4,3,health,home,1,no,no,yes,yes,yes,no,3,1
GP,M,GT3,T,4,3,teacher,reputation,2,no,no,no,yes,yes,no,4,4
GP,M,GT3,T,4,4,health,other,1,no,yes,no,yes,yes,no,5,4
GP,M,LE3,T,4,2,teacher,course,2,no,no,yes,yes,yes,no,4,5
GP,M,LE3,T,2,2,other,reputation,2,no,yes,yes,yes,yes,no,5,4
GP,F,GT3,T,2,4,services,course,3,yes,yes,yes,yes,yes,no,4,3
GP,F,GT3,T,2,2,services,home,1,no,yes,no,yes,yes,no,1,2
GP,M,GT3,T,2,2,other,home,1,no,yes,no,yes,yes,no,4,2
GP,M,GT3,T,4,2,health,other,1,no,no,no,yes,yes,no,2,2
GP,M,LE3,A,3,4,services,home,2,yes,yes,yes,yes,yes,no,5,3
GP,M,GT3,T,4,4,teacher,home,2,no,yes,yes,yes,yes,yes,4,4
GP,M,GT3,T,4,4,health,home,2,no,yes,no,yes,yes,no,5,4
GP,M,GT3,T,4,4,services,reputation,2,no,yes,yes,yes,yes,no,4,3
GP,M,GT3,T,4,3,teacher,course,2,no,yes,yes,yes,yes,yes,4,5
GP,M,LE3,T,3,3,other,course,2,no,no,yes,yes,yes,no,5,3
GP,M,GT3,T,3,2,other,home,1,no,yes,no,yes,yes,no,5,4
GP,F,GT3,T,2,3,other,other,1,no,yes,yes,yes,no,no,3,5
GP,M,LE3,T,4,3,teacher,home,3,no,yes,yes,yes,yes,no,5,4
GP,M,GT3,A,4,4,other,reputation,3,no,yes,yes,yes,yes,yes,2,4
GP,F,GT3,T,3,4,services,course,3,yes,yes,yes,yes,yes,no,4,3
GP,F,GT3,T,2,2,at_home,reputation,1,yes,yes,yes,yes,no,no,4,3
GP,F,LE3,T,2,2,other,home,2,no,yes,yes,yes,yes,yes,3,3
GP,M,LE3,T,4,4,teacher,home,1,no,yes,no,yes,yes,yes,5,4
GP,M,GT3,T,4,4,services,course,2,no,yes,yes,yes,yes,no,4,3
GP,M,GT3,T,2,2,services,course,1,yes,yes,no,yes,yes,no,5,4
GP,F,LE3,T,2,2,other,course,2,yes,no,yes,yes,yes,no,4,3
GP,F,LE3,A,4,3,other,course,2,yes,yes,yes,yes,yes,yes,5,2
GP,F,LE3,A,3,3,other,home,2,no,yes,no,yes,yes,no,2,3
GP,M,GT3,T,4,3,health,reputation,4,no,no,yes,yes,yes,no,4,2
GP,M,GT3,T,4,2,teacher,home,2,no,yes,no,yes,no,no,4,3
GP,F,GT3,T,4,4,services,other,2,yes,yes,yes,yes,yes,no,4,4
GP,F,LE3,T,2,2,services,course,2,no,yes,no,yes,yes,no,4,3
GP,F,LE3,T,4,2,health,other,2,no,yes,no,yes,yes,no,4,3
GP,M,LE3,A,4,2,health,other,1,no,no,no,yes,no,no,5,5
GP,F,GT3,T,4,4,services,course,1,yes,yes,no,yes,yes,no,3,3
GP,F,LE3,A,3,3,other,other,1,no,no,no,yes,yes,no,5,3
GP,F,GT3,A,2,1,other,other,2,no,no,yes,yes,yes,yes,5,3
GP,F,GT3,A,4,3,services,reputation,2,no,yes,yes,yes,yes,no,4,3
GP,M,GT3,T,4,4,teacher,reputation,2,no,yes,yes,yes,no,no,3,2
GP,M,LE3,T,1,2,other,home,2,yes,yes,yes,yes,yes,no,4,3
GP,F,GT3,T,4,2,services,course,2,no,yes,no,yes,yes,no,4,2
GP,F,GT3,T,4,4,health,other,2,no,yes,yes,yes,no,no,2,4
GP,F,GT3,T,1,1,services,course,1,yes,yes,yes,yes,yes,yes,5,5
