A,D,E,F,G,H,I,J,K,M,N,O,R,U,V,Y
GP,U,GT3,A,4,4,at_home,teacher,course,2,2,0,no,yes,no,3
GP,U,GT3,T,1,1,at_home,other,course,1,2,0,no,yes,yes,3
GP,U,LE3,T,1,1,at_home,other,other,1,2,0,no,yes,yes,3
GP,U,GT3,T,4,2,health,services,home,1,3,0,no,yes,yes,2
GP,U,GT3,T,3,3,other,other,home,1,2,0,no,yes,no,3
GP,U,LE3,T,4,3,services,other,reputation,1,2,0,no,yes,yes,4
GP,U,LE3,T,2,2,other,other,home,1,2,0,no,yes,yes,4
GP,U,GT3,A,4,4,other,teacher,home,2,2,0,no,yes,no,1
GP,U,LE3,A,3,2,services,other,home,1,2,0,no,yes,yes,2
GP,U,GT3,T,3,4,other,other,home,1,2,0,no,yes,yes,5
GP,U,GT3,T,4,4,teacher,health,reputation,1,2,0,no,yes,yes,3
GP,U,GT3,T,2,1,services,other,reputation,3,3,0,no,yes,yes,2
GP,U,LE3,T,4,4,health,services,course,1,1,0,no,yes,yes,3
GP,U,GT3,T,4,3,teacher,other,course,2,2,0,no,yes,yes,4
GP,U,GT3,A,2,2,other,other,home,1,3,0,no,yes,yes,5
GP,U,GT3,T,4,4,health,other,home,1,1,0,no,yes,yes,4
GP,U,GT3,T,4,4,services,services,reputation,1,3,0,no,yes,yes,2
GP,U,GT3,T,3,3,other,other,reputation,3,2,0,no,yes,no,3
GP,U,GT3,T,3,2,services,services,course,1,1,3,yes,yes,yes,5
GP,U,LE3,T,4,3,health,other,home,1,1,0,no,yes,yes,1
GP,U,GT3,T,4,3,teacher,other,reputation,1,2,0,no,yes,yes,4
GP,U,GT3,T,4,4,health,health,other,1,1,0,yes,yes,yes,4
GP,U,LE3,T,4,2,teacher,other,course,1,2,0,no,yes,yes,5
GP,U,LE3,T,2,2,other,other,reputation,2,2,0,no,yes,yes,4
GP,R,GT3,T,2,4,services,health,course,1,3,0,no,yes,yes,3
GP,U,GT3,T,2,2,services,services,home,1,1,0,no,yes,yes,2
GP,U,GT3,T,2,2,other,other,home,1,1,0,no,yes,yes,2
GP,U,GT3,T,4,2,health,services,other,1,1,0,no,yes,yes,2
GP,U,LE3,A,3,4,services,other,home,1,2,0,yes,yes,yes,3
GP,U,GT3,T,4,4,teacher,teacher,home,1,2,0,yes,yes,yes,4
GP,U,GT3,T,4,4,health,services,home,1,2,0,yes,yes,yes,4
GP,U,GT3,T,4,4,services,services,reputation,2,2,0,no,yes,yes,3
GP,R,GT3,T,4,3,teacher,at_home,course,1,2,0,no,yes,yes,5
GP,U,LE3,T,3,3,other,other,course,1,2,0,no,yes,yes,3
GP,U,GT3,T,3,2,other,other,home,1,1,0,no,yes,yes,4
GP,U,GT3,T,2,3,other,other,other,2,1,0,no,yes,no,5
GP,U,LE3,T,4,3,teacher,services,home,1,3,0,no,yes,yes,4
GP,R,GT3,A,4,4,other,teacher,reputation,2,3,0,no,yes,yes,4
GP,R,GT3,T,3,4,services,health,course,1,3,0,no,yes,yes,3
GP,R,GT3,T,2,2,at_home,other,reputation,1,1,0,no,yes,no,3
GP,U,LE3,T,2,2,other,other,home,2,2,0,no,yes,yes,3
GP,U,LE3,T,4,4,teacher,other,home,1,1,0,no,yes,yes,4
GP,U,GT3,T,4,4,services,teacher,course,1,2,0,no,yes,yes,3
GP,U,GT3,T,2,2,services,services,course,1,1,0,no,yes,yes,4
GP,U,LE3,T,2,2,other,at_home,course,2,2,1,no,yes,yes,3
GP,U,LE3,A,4,3,other,other,course,1,2,0,yes,yes,yes,2
GP,U,LE3,A,3,3,other,services,home,1,2,0,no,yes,yes,3
GP,U,GT3,T,4,3,health,services,reputation,1,4,0,no,yes,yes,2
GP,U,GT3,T,4,2,teacher,other,home,1,2,0,no,yes,no,3
GP,U,GT3,T,4,4,services,teacher,other,1,2,0,no,yes,yes,4
GP,U,LE3,T,2,2,services,services,course,3,2,0,no,yes,yes,3
GP,U,LE3,T,4,2,health,other,other,1,2,0,no,yes,yes,3
GP,U,LE3,A,4,2,health,health,other,2,1,0,no,yes,no,5
GP,U,GT3,T,4,4,services,services,course,1,1,0,no,yes,yes,3
GP,U,LE3,A,3,3,other,other,other,1,1,0,no,yes,yes,3
GP,U,GT3,A,2,1,other,other,other,1,2,0,no,yes,yes,3
GP,U,GT3,A,4,3,services,services,reputation,1,2,0,no,yes,yes,3
GP,U,GT3,T,4,4,teacher,health,reputation,1,2,0,no,yes,no,2
GP,U,LE3,T,1,2,other,at_home,home,1,2,0,no,yes,yes,3
GP,U,GT3,T,4,2,services,other,course,1,2,0,yes,yes,yes,2
GP,R,GT3,T,4,4,health,teacher,other,1,2,0,no,yes,no,4
GP,U,GT3,T,1,1,services,services,course,4,1,0,no,yes,yes,5
GP,U,LE3,T,1,2,other,services,reputation,1,2,0,no,yes,yes,4
GP,U,GT3,T,4,3,teacher,health,home,1,3,0,no,yes,yes,4
GP,U,LE3,T,4,3,services,services,reputation,1,2,0,no,yes,yes,4
GP,U,LE3,T,4,3,teacher,services,course,3,2,0,no,yes,yes,4
GP,U,GT3,A,4,4,other,services,reputation,1,4,0,no,yes,yes,3
GP,U,GT3,T,3,1,services,other,course,1,4,0,no,yes,yes,3
GP,R,LE3,T,2,2,health,services,reputation,2,2,0,no,yes,yes,1
GP,R,LE3,T,3,1,other,other,reputation,2,4,0,no,yes,yes,4
GP,U,GT3,T,3,1,other,other,reputation,2,4,0,no,yes,yes,3
GP,U,GT3,T,4,2,other,other,course,1,4,0,no,yes,yes,3
GP,R,GT3,T,1,1,other,other,reputation,1,2,0,no,yes,yes,3
