A,D,E,K,M,N,S,V,Y
GP,U,GT3,course,2,2,no,no,3
GP,U,GT3,course,1,2,no,yes,3
GP,U,LE3,other,1,2,no,yes,3
GP,U,GT3,home,1,3,yes,yes,2
GP,U,GT3,home,1,2,no,no,3
GP,U,LE3,reputation,1,2,yes,yes,4
GP,U,LE3,home,1,2,no,yes,4
GP,U,GT3,home,2,2,no,no,1
GP,U,LE3,home,1,2,no,yes,2
GP,U,GT3,home,1,2,yes,yes,5
GP,U,GT3,reputation,1,2,no,yes,3
GP,U,GT3,reputation,3,3,yes,yes,2
GP,U,LE3,course,1,1,yes,yes,3
GP,U,GT3,course,2,2,no,yes,4
GP,U,GT3,home,1,3,no,yes,5
GP,U,GT3,home,1,1,no,yes,4
GP,U,GT3,reputation,1,3,yes,yes,2
GP,U,GT3,reputation,3,2,yes,no,3
GP,U,GT3,course,1,1,yes,yes,5
GP,U,LE3,home,1,1,yes,yes,1
GP,U,GT3,reputation,1,2,no,yes,4
GP,U,GT3,other,1,1,no,yes,4
GP,U,LE3,course,1,2,yes,yes,5
GP,U,LE3,reputation,2,2,yes,yes,4
GP,R,GT3,course,1,3,yes,yes,3
GP,U,GT3,home,1,1,no,yes,2
GP,U,GT3,home,1,1,no,yes,2
GP,U,GT3,other,1,1,no,yes,2
GP,U,LE3,home,1,2,yes,yes,3
GP,U,GT3,home,1,2,yes,yes,4
GP,U,GT3,home,1,2,no,yes,4
GP,U,GT3,reputation,2,2,yes,yes,3
GP,R,GT3,course,1,2,yes,yes,5
GP,U,LE3,course,1,2,yes,yes,3
GP,U,GT3,home,1,1,no,yes,4
GP,U,GT3,other,2,1,yes,no,5
GP,U,LE3,home,1,3,yes,yes,4
GP,R,GT3,reputation,2,3,yes,yes,4
GP,R,GT3,course,1,3,yes,yes,3
GP,R,GT3,reputation,1,1,yes,no,3
GP,U,LE3,home,2,2,yes,yes,3
GP,U,LE3,home,1,1,no,yes,4
GP,U,GT3,course,1,2,yes,yes,3
GP,U,GT3,course,1,1,no,yes,4
GP,U,LE3,course,2,2,yes,yes,3
GP,U,LE3,course,1,2,yes,yes,2
GP,U,LE3,home,1,2,no,yes,3
GP,U,GT3,reputation,1,4,yes,yes,2
GP,U,GT3,home,1,2,no,no,3
GP,U,GT3,other,1,2,yes,yes,4
GP,U,LE3,course,3,2,no,yes,3
GP,U,LE3,other,1,2,no,yes,3
GP,U,LE3,other,2,1,no,no,5
GP,U,GT3,course,1,1,no,yes,3
GP,U,LE3,other,1,1,no,yes,3
GP,U,GT3,other,1,2,yes,yes,3
GP,U,GT3,reputation,1,2,yes,yes,3
GP,U,GT3,reputation,1,2,yes,no,2
GP,U,LE3,home,1,2,yes,yes,3
GP,U,GT3,course,1,2,no,yes,2
GP,R,GT3,other,1,2,yes,no,4
GP,U,GT3,course,4,1,yes,yes,5
GP,U,LE3,reputation,1,2,yes,yes,4
GP,U,GT3,home,1,3,yes,yes,4
GP,U,LE3,reputation,1,2,yes,yes,4
GP,U,LE3,course,3,2,yes,yes,4
GP,U,GT3,reputation,1,4,yes,yes,3
GP,U,GT3,course,1,4,no,yes,3
GP,R,LE3,reputation,2,2,no,yes,1
GP,R,LE3,reputation,2,4,no,yes,4
GP,U,GT3,reputation,2,4,no,yes,3
GP,U,GT3,course,1,4,no,yes,3
GP,R,GT3,reputation,1,2,no,yes,3
GP,U,GT3,reputation,1,1,yes,no,3
GP,U,GT3,home,1,2,yes,yes,3
GP,U,GT3,home,1,2,yes,yes,3
GP,U,GT3,course,2,4,yes,yes,4
GP,U,GT3,reputation,1,4,no,yes,2
GP,U,GT3,home,2,1,yes,yes,5
GP,U,GT3,course,1,2,no,yes,4
GP,U,GT3,course,1,1,yes,yes,2
GP,U,GT3,home,1,3,no,yes,3
GP,U,LE3,reputation,1,2,no,yes,4
GP,U,LE3,home,2,2,yes,yes,3
GP,U,GT3,home,1,2,yes,yes,3
GP,U,GT3,reputation,2,2,no,yes,4
GP,U,LE3,course,1,2,no,no,3
GP,U,GT3,reputation,1,3,yes,yes,3
GP,U,GT3,reputation,2,2,yes,yes,4
GP,U,LE3,reputation,1,2,no,no,1
GP,U,GT3,home,1,3,no,yes,3
GP,U,GT3,reputation,1,1,yes,yes,5
GP,U,LE3,home,1,2,no,no,3
GP,U,GT3,home,2,2,yes,yes,3
GP,U,LE3,reputation,1,4,yes,yes,3
GP,R,GT3,home,2,4,yes,yes,1
GP,R,GT3,reputation,2,1,yes,yes,3
GP,U,GT3,course,1,2,no,no,3
GP,U,GT3,reputation,1,1,yes,yes,3
GP,U,GT3,course,1,3,no,yes,3
GP,U,GT3,other,1,1,yes,yes,5
GP,U,GT3,other,1,3,yes,yes,4
GP,U,GT3,course,1,1,yes,yes,3
GP,U,GT3,home,2,2,no,yes,3
GP,U,GT3,course,1,2,yes,yes,4
GP,U,GT3,reputation,1,4,no,no,3
GP,U,GT3,course,1,4,no,yes,1
GP,U,GT3,home,1,3,yes,yes,3
GP,R,GT3,home,4,4,yes,yes,3
GP,U,LE3,other,1,3,yes,yes,4
GP,U,LE3,course,1,1,yes,yes,5
GP,R,GT3,reputation,1,3,yes,yes,1
GP,U,GT3,home,1,2,yes,yes,1
GP,U,LE3,course,1,1,no,yes,5
GP,R,GT3,reputation,1,2,yes,yes,4
GP,U,GT3,course,1,2,yes,yes,4
GP,U,GT3,reputation,2,2,yes,no,4
GP,U,GT3,home,2,1,yes,yes,4
GP,R,GT3,course,3,2,yes,yes,2
GP,U,GT3,reputation,1,1,no,yes,4
GP,U,GT3,course,1,2,no,yes,2
GP,U,GT3,home,1,4,yes,yes,5
GP,U,LE3,course,2,2,yes,yes,2
GP,U,GT3,course,1,1,yes,yes,4
GP,U,GT3,home,1,2,no,yes,4
GP,U,GT3,home,1,1,no,yes,5
GP,U,LE3,home,1,2,yes,yes,3
GP,U,GT3,course,1,2,no,no,4
GP,R,GT3,course,1,1,yes,yes,5
GP,U,GT3,course,2,3,no,yes,2
GP,R,GT3,course,2,3,no,yes,2
GP,U,GT3,reputation,1,2,yes,yes,4
GP,U,LE3,course,3,1,no,yes,2
GP,U,GT3,course,3,1,yes,yes,3
GP,U,LE3,course,1,1,no,yes,4
GP,U,GT3,course,1,1,no,yes,2
GP,U,GT3,course,4,1,no,no,2
GP,U,GT3,home,1,1,no,no,3
GP,R,GT3,course,4,2,no,no,3
GP,U,GT3,course,1,3,yes,yes,3
GP,R,GT3,course,3,2,no,no,4
GP,R,GT3,course,4,2,no,no,1
GP,U,LE3,course,2,1,yes,yes,3
GP,U,GT3,course,1,3,yes,yes,3
GP,R,GT3,reputation,2,1,yes,no,3
GP,U,GT3,course,2,1,yes,yes,3
GP,U,LE3,course,1,2,no,no,4
GP,U,GT3,course,2,1,yes,yes,3
GP,R,GT3,course,3,1,yes,yes,5
GP,U,GT3,course,2,4,no,yes,2
GP,U,GT3,home,1,2,no,no,3
GP,U,GT3,course,1,3,yes,yes,3
GP,U,LE3,reputation,2,1,yes,yes,3
GP,U,GT3,course,1,3,yes,yes,2
GP,U,LE3,course,1,1,no,yes,4
GP,U,GT3,home,1,1,no,yes,4
GP,U,GT3,course,1,2,no,yes,4
GP,U,LE3,home,2,1,yes,yes,4
GP,U,GT3,home,1,2,no,yes,3
GP,U,GT3,course,1,2,no,yes,3
GP,U,GT3,course,1,2,no,no,3
GP,U,GT3,course,1,1,no,yes,3
GP,U,LE3,course,4,1,no,yes,5
GP,U,LE3,course,1,1,no,yes,3
GP,U,LE3,course,1,1,yes,no,4
GP,R,GT3,reputation,2,3,yes,yes,2
GP,U,GT3,home,1,1,no,yes,5
GP,U,GT3,course,1,1,no,no,2
GP,R,GT3,course,1,2,yes,no,4
GP,R,LE3,reputation,1,1,no,no,2
GP,R,GT3,course,3,1,yes,no,2
GP,R,GT3,course,3,1,no,no,2
GP,U,GT3,course,1,2,no,yes,5
GP,U,LE3,course,2,1,no,yes,4
GP,R,LE3,course,2,1,yes,yes,3
GP,R,GT3,course,2,2,no,yes,4
GP,U,LE3,course,2,1,yes,no,4
GP,U,GT3,course,1,1,no,yes,3
GP,R,LE3,course,4,2,yes,no,3
GP,U,GT3,course,2,1,yes,no,5
GP,U,GT3,course,1,2,no,yes,3
GP,U,GT3,home,1,2,no,yes,2
GP,U,GT3,home,1,2,no,yes,1
GP,U,GT3,reputation,1,2,no,yes,4
GP,U,GT3,course,3,1,yes,yes,4
GP,U,GT3,reputation,2,2,yes,yes,3
GP,U,LE3,reputation,1,2,yes,yes,4
GP,U,GT3,home,1,2,yes,yes,3
GP,U,LE3,reputation,2,2,yes,yes,4
GP,U,LE3,course,2,2,yes,yes,4
GP,U,GT3,reputation,2,2,yes,yes,4
GP,U,GT3,reputation,1,2,yes,yes,3
GP,R,GT3,other,1,1,yes,yes,3
GP,U,GT3,course,1,2,yes,yes,2
GP,U,GT3,home,1,2,yes,yes,4
GP,U,GT3,home,1,2,yes,yes,2
GP,U,GT3,reputation,1,2,yes,no,4
GP,U,LE3,reputation,1,2,yes,yes,3
GP,U,GT3,reputation,1,2,no,yes,2
GP,U,GT3,other,1,2,yes,yes,3
GP,U,GT3,other,1,1,yes,yes,3
GP,U,LE3,course,1,2,yes,yes,2
GP,U,GT3,reputation,1,2,no,yes,3
GP,R,GT3,home,1,2,no,no,1
GP,U,GT3,course,1,2,no,yes,3
GP,U,GT3,course,1,2,yes,yes,3
GP,U,GT3,other,2,2,yes,yes,4
GP,R,GT3,reputation,1,1,yes,yes,3
GP,U,GT3,home,2,1,no,yes,3
GP,U,LE3,course,1,2,yes,yes,3
GP,U,GT3,home,1,1,no,yes,2
GP,R,LE3,home,3,1,yes,yes,3
GP,U,GT3,home,2,1,no,yes,2
GP,U,LE3,reputation,1,2,no,yes,5
GP,U,GT3,home,1,2,yes,yes,3
GP,U,GT3,reputation,1,2,yes,no,4
GP,U,GT3,course,1,2,no,no,4
GP,R,GT3,reputation,1,1,no,yes,3
GP,R,GT3,reputation,2,4,yes,yes,3
GP,U,GT3,home,1,3,no,yes,4
GP,U,GT3,course,1,2,no,yes,3
GP,U,GT3,other,1,2,yes,yes,3
GP,U,GT3,home,2,1,no,no,3
GP,R,GT3,reputation,2,3,yes,yes,4
GP,U,GT3,reputation,1,4,yes,yes,3
GP,U,LE3,home,1,2,no,yes,3
GP,U,GT3,reputation,1,2,no,yes,3
GP,U,GT3,home,1,2,yes,yes,4
GP,R,LE3,other,1,1,no,no,2
GP,U,LE3,reputation,2,2,no,yes,4
GP,U,GT3,reputation,1,2,no,yes,4
GP,U,LE3,home,1,2,no,yes,2
GP,U,GT3,home,2,1,no,no,3
GP,U,GT3,course,1,3,yes,yes,3
GP,R,GT3,reputation,2,2,yes,yes,2
GP,U,GT3,reputation,1,3,yes,no,3
GP,U,GT3,other,1,2,no,yes,3
GP,U,GT3,home,2,2,no,yes,3
GP,U,GT3,home,1,3,yes,yes,3
GP,R,GT3,reputation,1,2,yes,yes,3
GP,U,GT3,course,1,2,yes,yes,3
GP,U,LE3,reputation,1,2,no,yes,3
GP,U,LE3,course,4,2,yes,yes,3
GP,U,GT3,course,2,3,yes,yes,2
GP,U,LE3,reputation,1,2,yes,yes,2
GP,R,GT3,course,2,2,yes,yes,5
GP,U,GT3,reputation,1,2,yes,yes,5
GP,U,GT3,reputation,1,2,yes,yes,2
GP,U,LE3,home,2,2,no,yes,4
GP,U,GT3,reputation,2,3,yes,yes,3
GP,U,LE3,home,1,2,yes,yes,4
GP,U,GT3,home,1,1,no,yes,5
GP,U,GT3,home,1,2,yes,yes,3
GP,U,LE3,course,2,2,no,yes,3
GP,U,LE3,course,1,2,no,yes,3
GP,U,GT3,course,2,1,no,yes,1
GP,U,GT3,course,1,1,yes,yes,4
GP,U,GT3,course,1,1,yes,yes,2
GP,U,GT3,course,1,2,yes,no,4
GP,U,LE3,course,1,3,yes,yes,3
GP,U,GT3,course,1,1,no,yes,3
GP,R,GT3,course,3,2,yes,no,1
GP,R,LE3,course,4,1,no,yes,5
GP,U,GT3,reputation,1,2,no,yes,5
GP,U,LE3,home,1,1,no,yes,1
GP,R,LE3,course,2,3,yes,yes,3
GP,U,LE3,course,1,2,yes,no,3
GP,U,LE3,course,2,2,yes,yes,5
GP,R,LE3,course,2,2,no,yes,3
GP,U,LE3,course,1,1,yes,yes,4
GP,U,GT3,course,1,1,yes,yes,3
GP,U,GT3,course,1,2,no,yes,3
GP,R,GT3,home,2,3,no,yes,3
GP,U,GT3,home,2,3,no,yes,2
GP,U,GT3,course,1,2,no,no,3
GP,U,GT3,course,2,3,no,yes,4
GP,U,GT3,course,3,1,no,yes,3
GP,U,GT3,course,1,2,no,no,3
GP,U,GT3,course,2,1,no,yes,2
GP,U,GT3,other,1,1,no,yes,4
GP,R,LE3,course,1,2,no,yes,3
GP,U,GT3,other,1,1,no,yes,3
GP,U,GT3,course,2,1,no,yes,4
GP,U,GT3,reputation,3,2,no,yes,3
GP,U,GT3,other,1,1,no,yes,2
GP,R,GT3,course,2,1,yes,no,3
GP,R,GT3,course,1,1,no,yes,4
GP,U,LE3,course,2,1,yes,yes,4
GP,U,LE3,course,1,2,no,yes,3
GP,U,LE3,reputation,1,4,yes,yes,2
GP,U,GT3,home,1,2,no,yes,3
GP,U,LE3,course,3,2,yes,yes,4
GP,R,GT3,course,1,3,yes,yes,3
GP,U,LE3,home,1,3,no,no,4
GP,R,GT3,home,1,2,no,no,2
GP,U,LE3,reputation,1,2,no,yes,3
GP,U,GT3,home,1,2,yes,yes,2
GP,R,GT3,other,2,1,no,no,2
GP,U,LE3,course,1,4,yes,yes,4
GP,R,GT3,course,2,2,yes,yes,2
GP,U,GT3,home,1,2,no,yes,1
GP,U,GT3,course,1,2,no,yes,3
GP,R,GT3,course,1,3,yes,no,3
GP,U,GT3,home,1,3,yes,no,2
GP,U,GT3,home,1,3,yes,yes,3
GP,U,GT3,home,2,1,no,yes,4
GP,R,LE3,reputation,2,2,yes,yes,2
GP,U,GT3,other,1,2,yes,yes,4
GP,R,GT3,reputation,2,2,yes,yes,3
GP,U,GT3,reputation,1,2,yes,yes,4
GP,R,GT3,reputation,2,2,no,yes,3
GP,U,GT3,home,1,2,yes,yes,3
GP,U,GT3,reputation,1,4,yes,yes,5
GP,U,LE3,home,2,2,no,no,4
GP,R,GT3,home,1,2,yes,no,5
GP,U,GT3,home,1,2,no,yes,2
GP,U,GT3,reputation,2,2,no,yes,3
GP,U,LE3,course,2,2,no,yes,4
GP,R,GT3,home,2,2,no,yes,1
GP,U,GT3,home,2,1,yes,yes,2
GP,U,GT3,reputation,1,2,yes,yes,4
GP,U,GT3,reputation,3,3,no,yes,2
GP,R,GT3,reputation,1,2,no,yes,3
GP,U,LE3,course,2,1,yes,yes,2
GP,U,GT3,home,2,1,no,yes,4
GP,U,LE3,home,2,1,yes,yes,5
GP,U,LE3,home,1,1,no,yes,4
GP,R,LE3,reputation,2,4,yes,no,2
GP,U,GT3,home,2,2,yes,yes,4
GP,U,GT3,course,1,2,no,yes,4
GP,U,GT3,reputation,2,2,yes,yes,3
GP,U,GT3,reputation,1,2,no,yes,3
GP,U,GT3,other,1,3,no,yes,3
GP,U,GT3,reputation,1,3,no,yes,3
GP,U,GT3,reputation,1,3,yes,yes,2
GP,U,LE3,reputation,1,2,yes,yes,4
GP,U,GT3,home,1,2,yes,yes,3
GP,U,GT3,reputation,1,3,no,yes,2
GP,R,LE3,reputation,2,4,no,no,1
GP,R,LE3,reputation,2,3,yes,yes,4
GP,U,GT3,home,1,1,no,yes,4
GP,U,GT3,reputation,2,2,yes,yes,3
GP,U,LE3,home,2,2,no,yes,4
GP,U,GT3,reputation,1,4,no,yes,3
GP,U,LE3,home,1,1,no,yes,4
GP,U,LE3,home,1,2,no,yes,2
GP,U,LE3,home,2,1,no,yes,1
GP,R,GT3,reputation,2,3,yes,yes,3
GP,U,GT3,reputation,2,3,no,yes,3
GP,U,GT3,reputation,1,4,yes,yes,2
GP,R,LE3,course,2,3,yes,yes,3
GP,U,GT3,course,1,1,yes,no,5
GP,R,GT3,reputation,1,2,yes,no,5
GP,U,GT3,home,1,2,no,no,4
GP,U,GT3,course,2,2,yes,yes,3
GP,U,GT3,course,2,2,yes,yes,2
GP,R,GT3,course,1,1,yes,yes,4
GP,U,GT3,course,1,3,yes,yes,3
GP,U,LE3,course,2,1,no,yes,2
GP,R,GT3,course,1,3,yes,yes,3
GP,U,GT3,course,1,2,no,yes,1
GP,U,GT3,course,2,2,yes,yes,4
GP,U,GT3,course,1,2,no,yes,4
GP,U,GT3,course,1,1,yes,yes,4
GP,U,GT3,course,1,1,yes,yes,3
GP,U,GT3,course,1,2,no,yes,2
GP,U,LE3,home,1,2,no,yes,3
GP,U,LE3,home,1,2,yes,yes,2
GP,U,LE3,reputation,1,1,no,yes,2
GP,U,GT3,course,3,3,yes,no,5
GP,U,LE3,course,3,2,no,yes,3
GP,U,GT3,course,1,1,yes,yes,3
GP,U,GT3,course,1,2,no,no,2
GP,R,LE3,course,1,3,yes,yes,3
GP,U,GT3,course,1,3,no,yes,4
GP,U,LE3,home,2,3,no,yes,3
GP,U,GT3,home,2,3,yes,yes,5
GP,U,GT3,course,1,3,yes,yes,3
GP,U,GT3,reputation,1,1,yes,yes,3
GP,R,GT3,course,4,1,no,yes,4
GP,U,GT3,course,1,3,yes,yes,4
GP,U,GT3,course,2,3,no,yes,3
GP,U,GT3,course,1,1,yes,yes,2
GP,U,LE3,course,1,4,yes,yes,5
GP,R,GT3,home,1,1,no,no,3
GP,U,GT3,course,4,2,yes,no,2
GP,R,GT3,course,1,3,no,yes,4
GP,U,GT3,reputation,1,1,no,yes,4
GP,U,GT3,home,1,2,yes,yes,3
GP,U,LE3,home,1,2,yes,yes,3
GP,R,GT3,course,2,4,yes,no,4
GP,U,GT3,course,1,3,no,yes,4
GP,U,GT3,home,1,2,no,yes,3
GP,U,LE3,home,1,4,no,yes,3
GP,R,GT3,home,1,2,no,yes,3
GP,U,GT3,home,1,2,yes,yes,3
GP,U,LE3,home,1,2,yes,yes,3
GP,U,GT3,home,1,2,no,yes,3
GP,U,GT3,course,1,3,no,yes,3
GP,U,GT3,other,1,3,no,yes,4
GP,R,GT3,course,1,3,no,yes,3
GP,U,GT3,course,1,3,no,yes,4
GP,U,GT3,reputation,1,3,yes,yes,4
GP,U,GT3,course,2,2,yes,yes,3
GP,U,GT3,reputation,1,2,yes,yes,3
GP,U,LE3,home,2,1,no,yes,2
GP,U,GT3,home,1,1,no,yes,1
GP,U,LE3,reputation,1,3,yes,yes,3
GP,U,LE3,reputation,1,2,yes,yes,4
GP,U,LE3,reputation,1,2,yes,yes,3
GP,U,GT3,reputation,1,2,yes,yes,3
GP,U,LE3,reputation,1,3,no,yes,4
GP,U,LE3,course,1,2,yes,yes,2
GP,R,LE3,course,2,2,yes,yes,3
GP,R,GT3,reputation,2,3,no,yes,2
GP,U,GT3,home,1,1,no,yes,2
GP,U,LE3,reputation,1,2,no,yes,4
GP,U,GT3,reputation,1,3,no,yes,3
GP,R,GT3,reputation,1,1,no,yes,1
GP,U,GT3,reputation,1,1,no,yes,3
GP,U,LE3,reputation,2,2,no,yes,1
GP,U,GT3,reputation,2,1,no,yes,3
GP,U,GT3,home,1,2,yes,yes,1
MS,U,GT3,other,2,1,no,yes,3
MS,R,GT3,course,2,2,yes,yes,4
MS,R,GT3,other,1,1,no,no,1
MS,R,GT3,course,2,1,no,yes,4
MS,R,GT3,course,2,2,no,no,5
MS,R,LE3,home,2,1,no,no,3
MS,R,LE3,home,1,2,no,no,3
MS,U,GT3,other,1,3,no,yes,4
MS,R,GT3,course,1,2,no,no,5
MS,R,GT3,other,1,1,no,yes,4
MS,R,GT3,course,2,1,no,yes,5
MS,U,LE3,reputation,2,4,yes,no,2
MS,R,LE3,reputation,2,2,no,yes,4
MS,R,LE3,course,2,1,no,yes,4
MS,R,GT3,other,2,1,yes,no,2
MS,R,GT3,course,2,1,no,yes,5
MS,R,GT3,course,2,1,no,yes,1
MS,U,GT3,home,2,2,yes,no,4
MS,U,GT3,home,1,2,no,yes,4
MS,R,LE3,reputation,1,2,yes,yes,3
MS,R,LE3,reputation,1,2,yes,yes,3
MS,R,GT3,other,3,2,no,no,4
MS,R,GT3,course,4,2,yes,no,4
MS,U,LE3,reputation,1,2,yes,yes,3
MS,R,GT3,other,3,1,yes,no,5
MS,R,GT3,course,2,3,yes,yes,2
MS,R,GT3,course,2,1,no,no,1
MS,R,GT3,course,3,2,no,yes,5
MS,R,GT3,course,2,2,no,no,3
MS,R,GT3,course,3,2,no,yes,4
MS,U,GT3,course,1,3,no,no,3
MS,U,GT3,course,1,3,no,no,3
MS,U,GT3,home,1,2,no,yes,4
MS,U,GT3,course,1,2,no,no,4
MS,R,LE3,reputation,1,1,yes,yes,5
MS,R,GT3,home,4,4,no,yes,3
MS,R,GT3,other,4,3,no,no,4
MS,R,GT3,home,2,2,yes,yes,3
MS,R,GT3,other,2,1,yes,yes,2
MS,R,GT3,course,3,2,no,no,2
MS,R,LE3,other,1,3,no,no,4
MS,R,GT3,other,2,1,yes,no,4
MS,U,GT3,course,1,2,yes,yes,4
MS,U,GT3,home,2,1,no,no,2
MS,R,GT3,course,3,2,yes,yes,3
MS,U,GT3,reputation,3,1,no,no,3
MS,U,GT3,course,1,2,yes,no,3
MS,R,GT3,reputation,1,2,no,yes,5
MS,R,GT3,course,2,2,yes,no,4
MS,R,LE3,home,3,1,yes,no,3
MS,U,LE3,course,2,1,yes,yes,4
MS,R,LE3,reputation,3,1,yes,yes,2
MS,U,GT3,course,2,3,yes,no,3
MS,R,LE3,home,1,1,no,yes,4
MS,U,GT3,course,2,1,yes,yes,3
MS,R,GT3,course,2,2,no,no,4
MS,U,GT3,course,1,1,yes,no,5
MS,U,GT3,course,1,1,no,yes,4
MS,R,GT3,course,3,1,yes,no,5
MS,R,LE3,course,2,1,no,no,2
MS,R,GT3,course,3,2,no,yes,4
MS,U,LE3,home,1,1,no,no,3
MS,R,GT3,course,2,2,no,yes,3
MS,U,GT3,course,1,1,yes,yes,4
MS,R,LE3,course,2,3,no,no,3
MS,U,GT3,course,1,3,yes,no,3
MS,R,GT3,home,2,1,yes,yes,4
MS,R,GT3,course,2,1,no,yes,2
MS,U,GT3,course,2,2,no,yes,1
MS,R,GT3,course,1,2,no,no,3
MS,U,GT3,course,2,1,yes,no,4
MS,R,LE3,course,1,2,yes,yes,4
MS,U,GT3,reputation,1,1,yes,yes,5
MS,R,LE3,home,1,1,yes,yes,4
MS,U,GT3,course,2,4,yes,no,4
MS,U,GT3,course,1,2,yes,yes,3
MS,U,GT3,course,1,1,yes,no,2
MS,U,GT3,course,1,1,yes,yes,3
MS,U,LE3,course,1,1,yes,yes,2
MS,R,LE3,other,3,4,no,no,3
MS,U,GT3,course,1,4,yes,yes,2
MS,U,LE3,home,1,3,no,yes,4
MS,R,GT3,reputation,2,1,yes,yes,4
MS,U,GT3,other,2,2,yes,yes,3
MS,U,LE3,course,1,3,no,no,3
MS,R,GT3,course,3,1,no,yes,4
MS,R,LE3,course,3,2,no,no,3
MS,R,GT3,reputation,2,2,yes,no,3
MS,U,GT3,other,2,2,no,yes,4
MS,R,GT3,other,1,2,no,yes,3
MS,U,GT3,course,1,1,yes,yes,1
MS,U,GT3,course,1,1,no,yes,1
MS,U,LE3,reputation,2,2,no,no,3
MS,R,GT3,reputation,1,2,yes,yes,3
MS,R,LE3,reputation,2,1,yes,yes,4
MS,U,GT3,reputation,1,2,no,yes,3
MS,R,GT3,reputation,2,2,yes,yes,2
MS,U,LE3,other,3,2,no,yes,3
MS,R,GT3,other,2,2,yes,yes,3
MS,U,GT3,course,1,2,no,yes,3
MS,U,LE3,home,1,4,yes,yes,5
MS,R,LE3,other,3,2,no,no,2
MS,U,LE3,home,1,3,no,yes,4
MS,R,GT3,other,1,1,no,yes,2
MS,U,LE3,other,4,3,no,no,1
MS,R,GT3,other,1,1,no,yes,1
MS,U,LE3,other,2,1,no,no,1
MS,U,GT3,home,1,1,yes,yes,1
MS,U,GT3,other,3,2,no,yes,1
MS,U,GT3,other,2,2,no,yes,2
MS,U,LE3,other,1,2,no,yes,2
MS,U,LE3,other,1,1,no,yes,1
MS,R,GT3,course,3,2,yes,no,5
MS,U,LE3,reputation,3,4,yes,no,4
MS,U,LE3,course,1,1,yes,yes,3
MS,R,LE3,course,1,3,no,no,3
MS,U,LE3,home,2,2,yes,yes,2
MS,U,GT3,home,2,1,no,no,3
MS,R,GT3,other,2,2,no,no,1
MS,U,GT3,course,2,3,no,yes,3
MS,R,GT3,course,3,1,yes,yes,3
MS,R,LE3,course,2,1,yes,no,1
