C,E,F,L,W,Y
18,GT3,A,mother,no,3
17,GT3,T,father,no,3
15,LE3,T,mother,no,3
15,GT3,T,mother,yes,2
16,GT3,T,father,no,3
16,LE3,T,mother,no,4
16,LE3,T,mother,no,4
17,GT3,A,mother,no,1
15,LE3,A,mother,no,2
15,GT3,T,mother,no,5
15,GT3,T,mother,no,3
15,GT3,T,father,no,2
15,LE3,T,father,no,3
15,GT3,T,mother,no,4
15,GT3,A,other,yes,5
16,GT3,T,mother,no,4
16,GT3,T,mother,no,2
16,GT3,T,mother,no,3
17,GT3,T,mother,no,5
16,LE3,T,father,no,1
15,GT3,T,mother,no,4
15,GT3,T,father,no,4
16,LE3,T,mother,no,5
16,LE3,T,mother,no,4
15,GT3,T,mother,no,3
16,GT3,T,mother,no,2
15,GT3,T,mother,no,2
15,GT3,T,mother,no,2
16,LE3,A,mother,no,3
16,GT3,T,mother,yes,4
15,GT3,T,mother,no,4
15,GT3,T,mother,no,3
15,GT3,T,mother,yes,5
15,LE3,T,mother,no,3
16,GT3,T,mother,no,4
15,GT3,T,father,no,5
15,LE3,T,mother,no,4
16,GT3,A,mother,yes,4
15,GT3,T,mother,no,3
15,GT3,T,mother,no,3
16,LE3,T,mother,yes,3
15,LE3,T,other,yes,4
15,GT3,T,father,no,3
15,GT3,T,father,no,4
16,LE3,T,father,no,3
15,LE3,A,mother,yes,2
16,LE3,A,mother,no,3
16,GT3,T,mother,no,2
15,GT3,T,mother,no,3
15,GT3,T,father,no,4
16,LE3,T,mother,no,3
15,LE3,T,mother,no,3
15,LE3,A,father,no,5
15,GT3,T,mother,no,3
15,LE3,A,mother,no,3
16,GT3,A,mother,yes,3
15,GT3,A,mother,no,3
15,GT3,T,mother,no,2
15,LE3,T,father,no,3
16,GT3,T,mother,no,2
16,GT3,T,mother,no,4
16,GT3,T,father,yes,5
16,LE3,T,father,no,4
16,GT3,T,mother,no,4
15,LE3,T,father,yes,4
16,LE3,T,mother,no,4
15,GT3,A,mother,yes,3
16,GT3,T,mother,no,3
15,LE3,T,mother,no,1
15,LE3,T,father,no,4
16,GT3,T,father,no,3
15,GT3,T,mother,no,3
15,GT3,T,mother,yes,3
16,GT3,T,mother,no,3
16,GT3,T,mother,no,3
15,GT3,T,mother,no,3
15,GT3,T,mother,no,4
16,GT3,T,mother,yes,2
17,GT3,T,mother,no,5
16,GT3,T,mother,no,4
15,GT3,T,father,yes,2
15,GT3,T,mother,no,3
15,LE3,T,mother,no,4
15,LE3,T,mother,no,3
15,GT3,T,father,no,3
15,GT3,T,father,yes,4
16,LE3,T,mother,no,3
15,GT3,T,mother,no,3
16,GT3,T,father,no,4
16,LE3,A,mother,no,1
16,GT3,T,mother,yes,3
15,GT3,T,mother,no,5
16,LE3,T,father,no,3
16,GT3,T,mother,no,3
15,LE3,T,mother,no,3
15,GT3,T,mother,no,1
16,GT3,T,mother,no,3
16,GT3,T,mother,yes,3
16,GT3,T,mother,no,3
16,GT3,T,mother,no,3
16,GT3,T,mother,no,5
16,GT3,T,father,yes,4
15,GT3,T,mother,no,3
15,GT3,T,mother,no,3
15,GT3,A,mother,no,4
15,GT3,A,father,no,3
15,GT3,T,mother,no,1
16,GT3,T,father,no,3
15,GT3,T,father,yes,3
16,LE3,T,mother,yes,4
15,LE3,A,mother,no,5
16,GT3,T,father,no,1
16,GT3,T,mother,no,1
15,LE3,T,mother,no,5
15,GT3,T,mother,yes,4
16,GT3,T,father,no,4
15,GT3,T,father,no,4
16,GT3,T,father,no,4
17,GT3,T,father,no,2
15,GT3,T,father,no,4
15,GT3,T,mother,no,2
15,GT3,T,father,no,5
16,LE3,T,father,yes,2
16,GT3,T,mother,no,4
16,GT3,T,mother,yes,4
15,GT3,T,father,no,5
15,LE3,A,mother,yes,3
19,GT3,T,other,no,4
16,GT3,T,mother,no,5
16,GT3,T,mother,yes,2
15,GT3,T,father,yes,2
18,GT3,T,mother,yes,4
17,LE3,A,mother,no,2
15,GT3,T,mother,yes,3
17,LE3,T,father,yes,4
16,GT3,A,father,no,2
16,GT3,T,mother,no,2
16,GT3,A,mother,no,3
15,GT3,T,mother,yes,3
15,GT3,T,mother,yes,3
17,GT3,T,mother,no,4
16,GT3,T,mother,no,1
18,LE3,T,mother,yes,3
18,GT3,A,other,yes,3
16,GT3,T,mother,yes,3
16,GT3,A,other,yes,3
16,LE3,T,mother,yes,4
15,GT3,T,mother,no,3
15,GT3,T,mother,yes,5
15,GT3,T,father,no,2
15,GT3,A,mother,yes,3
16,GT3,T,mother,no,3
16,LE3,T,father,no,3
15,GT3,T,mother,no,2
16,LE3,T,mother,no,4
17,GT3,T,mother,no,4
15,GT3,T,father,no,4
15,LE3,A,mother,yes,4
15,GT3,T,father,no,3
15,GT3,T,mother,no,3
15,GT3,T,father,yes,3
16,GT3,T,mother,yes,3
15,LE3,A,mother,no,5
18,LE3,T,mother,yes,3
16,LE3,T,mother,yes,4
15,GT3,T,other,yes,2
19,GT3,T,mother,yes,5
17,GT3,T,mother,yes,2
15,GT3,T,mother,no,4
17,LE3,T,mother,no,2
18,GT3,T,mother,no,2
16,GT3,T,mother,no,2
16,GT3,T,father,yes,5
16,LE3,T,mother,no,4
17,LE3,T,mother,yes,3
17,GT3,T,mother,yes,4
15,LE3,T,mother,no,4
16,GT3,T,father,no,3
17,LE3,T,mother,yes,3
17,GT3,T,mother,no,5
16,GT3,T,father,no,3
16,GT3,T,father,yes,2
