B,G,N,Q,R
F,4,2,no,no
F,1,2,yes,no
F,1,2,no,no
F,4,3,yes,no
F,3,2,yes,no
M,4,2,yes,no
M,2,2,no,no
F,4,2,yes,no
M,3,2,yes,no
M,3,2,yes,no
F,4,2,yes,no
F,2,3,yes,no
M,4,1,yes,no
M,4,2,yes,no
M,2,3,yes,no
F,4,1,yes,no
F,4,3,yes,no
F,3,2,yes,no
M,3,1,yes,yes
M,4,1,no,no
M,4,2,no,no
M,4,1,yes,yes
M,4,2,no,no
M,2,2,yes,no
F,2,3,yes,no
F,2,1,yes,no
M,2,1,yes,no
M,4,1,no,no
M,3,2,yes,yes
M,4,2,yes,yes
M,4,2,yes,yes
M,4,2,yes,no
M,4,2,yes,no
M,3,2,no,no
M,3,1,yes,no
F,2,1,yes,no
M,4,3,yes,no
M,4,3,yes,no
F,3,3,yes,no
F,2,1,yes,no
F,2,2,yes,no
M,4,1,yes,no
M,4,2,yes,no
M,2,1,yes,no
F,2,2,no,no
F,4,2,yes,yes
F,3,2,yes,no
M,4,4,no,no
M,4,2,yes,no
F,4,2,yes,no
F,2,2,yes,no
F,4,2,yes,no
M,4,1,no,no
F,4,1,yes,no
F,3,1,no,no
F,2,2,no,no
F,4,2,yes,no
M,4,2,yes,no
M,1,2,yes,no
F,4,2,yes,yes
F,4,2,yes,no
F,1,1,yes,no
F,1,2,no,no
F,4,3,yes,no
F,4,2,no,no
F,4,2,yes,no
M,4,4,yes,no
F,3,4,yes,no
F,2,2,yes,no
F,3,4,yes,no
M,3,4,yes,no
M,4,4,no,no
F,1,2,yes,no
M,3,1,no,no
F,3,2,yes,no
M,4,2,yes,no
M,4,4,no,no
F,2,4,no,no
M,2,1,yes,no
F,3,2,yes,no
M,2,1,yes,no
M,2,3,no,no
F,3,2,yes,no
M,2,2,no,yes
F,1,2,yes,no
F,4,2,no,no
F,2,2,yes,no
F,4,3,yes,no
M,2,2,no,no
M,4,2,yes,no
F,3,3,yes,no
F,4,1,no,no
F,3,2,yes,no
F,4,2,yes,no
M,2,4,yes,no
F,1,4,yes,yes
M,4,1,yes,yes
F,2,2,yes,no
F,4,1,no,no
F,4,3,yes,no
M,4,1,yes,no
M,4,3,yes,no
M,4,1,yes,yes
F,3,2,yes,no
M,3,2,yes,no
F,3,4,no,no
F,2,4,yes,no
M,3,3,yes,no
M,4,4,yes,no
F,4,3,yes,no
M,4,1,no,no
F,3,3,yes,no
F,2,2,no,no
M,4,1,no,no
M,2,2,no,no
M,4,2,yes,no
M,4,2,yes,no
M,3,1,no,no
M,1,2,yes,no
M,3,1,no,no
F,1,2,no,no
M,2,4,yes,no
F,2,2,yes,no
M,4,1,yes,no
F,2,2,no,no
M,3,1,no,no
F,3,2,no,no
F,0,2,yes,no
M,4,1,no,no
M,2,3,yes,no
F,3,3,yes,no
F,2,2,yes,no
F,2,1,yes,no
F,1,1,yes,no
F,2,1,yes,no
F,3,1,no,no
M,2,1,no,no
F,2,1,no,no
M,3,2,yes,no
F,4,3,yes,no
M,3,2,no,no
F,1,2,yes,no
M,3,1,no,no
F,3,3,yes,no
F,1,1,yes,no
F,3,1,yes,no
M,1,2,no,no
F,4,1,no,no
F,1,1,no,no
M,4,4,yes,no
F,3,2,no,no
M,4,3,yes,no
M,2,1,yes,no
F,4,3,yes,no
F,1,1,no,no
M,2,1,yes,no
F,1,2,yes,no
F,2,1,yes,no
F,3,2,yes,no
F,1,2,yes,no
F,1,2,no,no
M,4,1,yes,no
M,2,1,no,no
M,1,1,no,no
M,2,1,no,no
F,3,3,yes,yes
M,3,1,yes,no
F,4,1,yes,no
M,2,2,no,yes
M,1,1,no,no
F,1,1,yes,no
M,2,1,no,no
M,3,2,yes,no
M,1,1,no,no
M,2,1,no,yes
M,3,2,yes,no
M,1,1,no,no
M,1,1,no,no
M,1,2,no,no
M,3,1,yes,no
M,2,2,no,no
F,4,2,no,no
F,2,2,yes,no
F,4,2,yes,no
M,3,1,yes,no
M,1,2,yes,no
M,4,2,yes,no
F,1,2,no,no
F,3,2,yes,no
M,4,2,no,no
F,2,2,no,no
M,3,2,no,no
M,4,1,yes,no
M,4,2,yes,yes
M,4,2,yes,yes
M,3,2,no,no
F,2,2,yes,no
F,3,2,yes,no
F,3,2,yes,no
M,3,2,yes,no
M,1,1,yes,no
M,2,2,no,no
F,3,2,yes,no
M,1,2,no,no
F,2,2,no,no
F,1,2,no,no
M,1,2,no,no
M,3,1,yes,no
M,2,1,no,no
F,2,2,no,no
M,4,1,no,no
M,3,1,yes,no
F,4,1,yes,no
F,4,2,yes,no
F,4,2,yes,no
F,2,2,yes,no
F,1,2,yes,no
F,2,1,yes,no
F,2,4,yes,no
F,3,3,yes,yes
F,3,2,yes,no
F,4,2,no,no
F,1,1,yes,no
F,4,3,yes,no
F,3,4,yes,no
M,4,2,yes,no
F,2,2,yes,no
M,2,2,yes,no
F,4,1,yes,no
F,3,2,no,no
F,4,2,no,no
M,3,2,yes,no
F,2,1,yes,no
F,2,3,yes,no
F,2,2,yes,no
F,1,3,yes,no
F,2,2,no,no
M,2,2,yes,yes
F,4,3,yes,no
F,3,2,no,no
F,3,2,no,no
M,2,2,yes,no
M,2,2,yes,no
F,2,3,no,no
F,4,2,no,no
M,2,2,yes,no
M,4,2,yes,no
M,4,2,yes,no
M,1,2,yes,no
M,3,3,no,no
M,2,2,no,no
F,2,1,no,no
F,4,2,no,no
F,2,2,yes,no
F,2,2,yes,no
F,3,1,no,no
M,2,1,yes,no
M,4,1,yes,no
F,3,2,no,no
F,1,3,yes,no
F,1,1,no,no
F,2,2,no,no
F,1,1,yes,no
M,2,2,no,no
F,2,1,yes,no
F,1,3,no,no
F,4,2,yes,no
M,4,2,no,no
M,4,2,yes,no
M,4,1,no,no
M,4,1,no,yes
F,4,2,yes,yes
M,1,3,no,no
F,3,3,yes,no
F,1,2,no,no
F,2,3,yes,no
M,2,1,no,no
F,1,2,yes,no
M,2,1,no,no
M,3,1,no,no
M,3,2,yes,no
M,0,1,no,no
M,3,1,no,no
M,3,2,yes,no
M,2,1,no,no
M,2,1,no,no
M,2,1,no,no
M,1,1,yes,no
F,2,2,yes,no
F,4,4,yes,no
F,2,2,yes,no
M,2,2,no,no
F,4,3,yes,no
F,1,3,yes,no
F,2,2,no,no
M,4,2,yes,no
M,2,2,no,no
M,2,1,no,no
F,2,4,no,no
F,2,2,yes,yes
F,4,2,yes,no
M,4,2,yes,no
M,3,3,no,no
F,3,3,no,no
F,2,3,yes,no
M,2,1,no,no
M,3,2,yes,no
M,3,2,no,no
F,4,2,no,no
M,4,2,yes,no
F,2,2,yes,no
F,3,2,yes,no
F,2,4,yes,no
F,1,2,yes,no
M,1,2,yes,no
F,2,2,yes,no
F,2,2,yes,no
F,2,2,yes,no
F,3,2,no,no
M,4,1,no,no
F,4,2,yes,no
F,2,3,yes,no
F,3,2,yes,no
M,4,1,no,no
M,1,1,no,no
M,4,1,no,no
M,3,1,no,no
F,1,4,yes,no
F,1,2,no,no
F,2,2,yes,no
F,2,2,no,no
M,1,2,no,no
F,2,3,yes,no
F,1,3,yes,no
M,2,3,no,no
M,4,2,yes,no
M,4,2,yes,no
F,4,3,yes,no
F,3,4,yes,no
M,3,3,yes,no
M,3,1,yes,no
F,4,2,yes,no
F,4,2,yes,no
F,4,4,yes,no
M,4,1,yes,no
F,4,2,yes,yes
M,4,1,no,no
F,4,3,yes,no
F,4,3,yes,no
F,3,4,yes,no
M,2,3,no,no
M,3,1,no,no
M,3,2,no,no
F,1,2,yes,no
F,2,2,yes,no
F,2,2,no,no
F,4,1,no,no
F,4,3,yes,no
F,4,1,yes,no
F,3,3,yes,no
F,3,2,yes,no
M,4,2,yes,no
F,4,2,yes,no
F,3,1,yes,no
F,4,1,no,no
F,4,2,yes,no
F,3,2,yes,no
F,2,2,no,no
M,4,1,yes,no
F,1,3,no,no
F,1,2,yes,no
F,2,1,yes,no
F,2,2,yes,no
F,2,3,yes,no
F,3,3,yes,no
F,0,3,no,no
F,1,3,no,no
M,4,3,no,no
M,3,1,no,no
M,2,1,yes,no
F,4,3,yes,no
F,4,3,yes,no
F,3,1,yes,yes
M,2,4,yes,yes
