B,G,N,Q,S,X
F,4,2,no,no,4
F,1,2,yes,no,5
F,1,2,no,no,4
F,4,3,yes,yes,3
F,3,2,yes,no,4
M,4,2,yes,yes,5
M,2,2,no,no,4
F,4,2,yes,no,4
M,3,2,yes,no,4
M,3,2,yes,yes,5
F,4,2,yes,no,3
F,2,3,yes,yes,5
M,4,1,yes,yes,4
M,4,2,yes,no,5
M,2,3,yes,no,4
F,4,1,yes,no,4
F,4,3,yes,yes,3
F,3,2,yes,yes,5
M,3,1,yes,yes,5
M,4,1,no,yes,3
M,4,2,no,no,4
M,4,1,yes,no,5
M,4,2,no,yes,4
M,2,2,yes,yes,5
F,2,3,yes,yes,4
F,2,1,yes,no,1
M,2,1,yes,no,4
M,4,1,no,no,2
M,3,2,yes,yes,5
M,4,2,yes,yes,4
M,4,2,yes,no,5
M,4,2,yes,yes,4
M,4,2,yes,yes,4
M,3,2,no,yes,5
M,3,1,yes,no,5
F,2,1,yes,yes,3
M,4,3,yes,yes,5
M,4,3,yes,yes,2
F,3,3,yes,yes,4
F,2,1,yes,yes,4
F,2,2,yes,yes,3
M,4,1,yes,no,5
M,4,2,yes,yes,4
M,2,1,yes,no,5
F,2,2,no,yes,4
F,4,2,yes,yes,5
F,3,2,yes,no,2
M,4,4,no,yes,4
M,4,2,yes,no,4
F,4,2,yes,yes,4
F,2,2,yes,no,4
F,4,2,yes,no,4
M,4,1,no,no,5
F,4,1,yes,no,3
F,3,1,no,no,5
F,2,2,no,yes,5
F,4,2,yes,yes,4
M,4,2,yes,yes,3
M,1,2,yes,yes,4
F,4,2,yes,no,4
F,4,2,yes,yes,2
F,1,1,yes,yes,5
F,1,2,no,yes,4
F,4,3,yes,yes,3
F,4,2,no,yes,4
F,4,2,yes,yes,5
M,4,4,yes,yes,1
F,3,4,yes,no,4
F,2,2,yes,no,4
F,3,4,yes,no,4
M,3,4,yes,no,4
M,4,4,no,no,3
F,1,2,yes,no,3
M,3,1,no,yes,5
F,3,2,yes,yes,4
M,4,2,yes,yes,4
M,4,4,no,yes,3
F,2,4,no,no,5
M,2,1,yes,yes,4
F,3,2,yes,no,2
M,2,1,yes,yes,3
M,2,3,no,no,5
F,3,2,yes,no,4
M,2,2,no,yes,5
F,1,2,yes,yes,4
F,4,2,no,no,4
F,2,2,yes,no,4
F,4,3,yes,yes,5
M,2,2,no,yes,4
M,4,2,yes,no,4
F,3,3,yes,no,4
F,4,1,no,yes,4
F,3,2,yes,no,3
F,4,2,yes,yes,5
M,2,4,yes,yes,4
F,1,4,yes,yes,3
M,4,1,yes,yes,3
F,2,2,yes,no,4
F,4,1,no,yes,5
F,4,3,yes,no,5
M,4,1,yes,yes,4
M,4,3,yes,yes,4
M,4,1,yes,yes,5
F,3,2,yes,no,4
M,3,2,yes,yes,5
F,3,4,no,no,4
F,2,4,yes,no,5
M,3,3,yes,yes,5
M,4,4,yes,yes,1
F,4,3,yes,yes,5
M,4,1,no,yes,5
F,3,3,yes,yes,4
F,2,2,no,yes,3
M,4,1,no,no,3
M,2,2,no,yes,5
M,4,2,yes,yes,5
M,4,2,yes,yes,4
M,3,1,no,yes,5
M,1,2,yes,yes,5
M,3,1,no,no,3
F,1,2,no,no,3
M,2,4,yes,yes,5
F,2,2,yes,yes,4
M,4,1,yes,yes,3
F,2,2,no,no,5
M,3,1,no,no,5
F,3,2,no,yes,5
F,0,2,yes,no,3
M,4,1,no,yes,3
M,2,3,yes,no,3
F,3,3,yes,no,4
F,2,2,yes,yes,5
F,2,1,yes,no,3
F,1,1,yes,yes,4
F,2,1,yes,no,3
F,3,1,no,no,3
M,2,1,no,no,3
F,2,1,no,no,5
M,3,2,yes,no,5
F,4,3,yes,yes,4
M,3,2,no,no,5
F,1,2,yes,no,5
M,3,1,no,yes,3
F,3,3,yes,yes,4
F,1,1,yes,yes,3
F,3,1,yes,yes,4
M,1,2,no,no,4
F,4,1,no,yes,4
F,1,1,no,yes,5
M,4,4,yes,no,2
F,3,2,no,no,1
M,4,3,yes,yes,5
M,2,1,yes,yes,2
F,4,3,yes,yes,4
F,1,1,no,no,3
M,2,1,yes,no,5
F,1,2,yes,no,4
F,2,1,yes,yes,4
F,3,2,yes,no,3
F,1,2,yes,no,4
F,1,2,no,no,2
M,4,1,yes,no,3
M,2,1,no,no,4
M,1,1,no,no,2
M,2,1,no,yes,4
F,3,3,yes,yes,4
M,3,1,yes,no,4
F,4,1,yes,no,4
M,2,2,no,yes,4
M,1,1,no,no,2
F,1,1,yes,yes,5
M,2,1,no,no,4
M,3,2,yes,no,4
M,1,1,no,no,4
M,2,1,no,yes,3
M,3,2,yes,no,4
M,1,1,no,yes,4
M,1,1,no,no,5
M,1,2,no,yes,5
M,3,1,yes,yes,4
M,2,2,no,no,4
F,4,2,no,no,4
F,2,2,yes,no,5
F,4,2,yes,no,4
M,3,1,yes,yes,3
M,1,2,yes,yes,4
M,4,2,yes,yes,4
F,1,2,no,yes,4
F,3,2,yes,yes,4
M,4,2,no,yes,4
F,2,2,no,yes,3
M,3,2,no,yes,4
M,4,1,yes,yes,4
M,4,2,yes,yes,5
M,4,2,yes,yes,3
M,3,2,no,yes,4
F,2,2,yes,yes,5
F,3,2,yes,yes,5
F,3,2,yes,no,1
M,3,2,yes,yes,4
M,1,1,yes,yes,3
M,2,2,no,yes,4
F,3,2,yes,no,3
M,1,2,no,no,3
F,2,2,no,no,4
F,1,2,no,yes,5
M,1,2,no,yes,4
M,3,1,yes,yes,4
M,2,1,no,no,5
F,2,2,no,yes,4
M,4,1,no,no,5
M,3,1,yes,yes,3
F,4,1,yes,no,4
F,4,2,yes,no,4
F,4,2,yes,yes,4
F,2,2,yes,yes,4
F,1,2,yes,no,4
F,2,1,yes,no,5
F,2,4,yes,yes,5
F,3,3,yes,no,4
F,3,2,yes,no,2
F,4,2,no,yes,1
F,1,1,yes,no,4
F,4,3,yes,yes,4
F,3,4,yes,yes,4
M,4,2,yes,no,5
F,2,2,yes,no,3
M,2,2,yes,yes,4
F,4,1,yes,no,5
F,3,2,no,no,4
F,4,2,no,no,3
M,3,2,yes,no,3
F,2,1,yes,no,3
F,2,3,yes,yes,4
F,2,2,yes,yes,4
F,1,3,yes,yes,4
F,2,2,no,no,2
M,2,2,yes,no,3
F,4,3,yes,yes,5
F,3,2,no,yes,5
F,3,2,no,yes,5
M,2,2,yes,no,5
M,2,2,yes,yes,4
