A,E,G,T,U,Z
GP,GT3,4,yes,yes,4
GP,GT3,1,no,yes,3
GP,LE3,1,yes,yes,2
GP,GT3,4,yes,yes,2
GP,GT3,3,yes,yes,2
GP,LE3,4,yes,yes,2
GP,LE3,2,yes,yes,4
GP,GT3,4,yes,yes,4
GP,LE3,3,yes,yes,2
GP,GT3,3,yes,yes,1
GP,GT3,4,yes,yes,3
GP,GT3,2,yes,yes,2
GP,LE3,4,yes,yes,3
GP,GT3,4,yes,yes,3
GP,GT3,2,yes,yes,2
GP,GT3,4,yes,yes,4
GP,GT3,4,yes,yes,3
GP,GT3,3,yes,yes,2
GP,GT3,3,yes,yes,5
GP,LE3,4,yes,yes,3
GP,GT3,4,yes,yes,1
GP,GT3,4,yes,yes,2
GP,LE3,4,yes,yes,1
GP,LE3,2,yes,yes,4
GP,GT3,2,yes,yes,2
GP,GT3,2,no,yes,2
GP,GT3,2,yes,yes,2
GP,GT3,4,yes,yes,4
GP,LE3,3,yes,yes,3
GP,GT3,4,yes,yes,5
GP,GT3,4,no,yes,2
GP,GT3,4,yes,yes,1
GP,GT3,4,yes,yes,2
GP,LE3,3,no,yes,2
GP,GT3,3,no,yes,3
GP,GT3,2,yes,yes,1
GP,LE3,4,yes,yes,3
GP,GT3,4,yes,yes,3
GP,GT3,3,yes,yes,2
GP,GT3,2,yes,yes,1
GP,LE3,2,no,yes,3
GP,LE3,4,no,yes,3
GP,GT3,4,yes,yes,3
GP,GT3,2,yes,yes,1
GP,LE3,2,yes,yes,3
GP,LE3,4,yes,yes,2
GP,LE3,3,yes,yes,5
GP,GT3,4,yes,yes,2
GP,GT3,4,yes,yes,3
GP,GT3,4,no,yes,4
GP,LE3,2,yes,yes,3
GP,LE3,4,yes,yes,3
GP,LE3,4,yes,yes,5
GP,GT3,4,yes,yes,4
GP,LE3,3,yes,yes,4
GP,GT3,2,yes,yes,4
GP,GT3,4,yes,yes,2
GP,GT3,4,yes,yes,2
GP,LE3,1,yes,yes,2
GP,GT3,4,yes,yes,3
GP,GT3,4,yes,yes,4
GP,GT3,1,no,yes,5
GP,LE3,1,yes,yes,3
GP,GT3,4,yes,yes,4
GP,LE3,4,yes,yes,4
GP,LE3,4,yes,yes,3
GP,GT3,4,no,yes,3
GP,GT3,3,yes,yes,3
GP,LE3,2,yes,yes,3
GP,LE3,3,no,yes,2
GP,GT3,3,yes,yes,2
GP,GT3,4,yes,yes,3
GP,GT3,1,no,yes,4
GP,GT3,3,yes,yes,2
GP,GT3,3,yes,yes,3
GP,GT3,4,yes,yes,3
GP,GT3,4,yes,yes,3
GP,GT3,2,yes,yes,3
GP,GT3,2,yes,no,1
GP,GT3,3,yes,yes,3
GP,GT3,2,no,yes,2
GP,GT3,2,no,yes,2
GP,LE3,3,yes,yes,4
GP,LE3,2,yes,yes,3
GP,GT3,1,no,yes,2
GP,GT3,4,yes,yes,4
GP,LE3,2,yes,yes,4
GP,GT3,4,yes,yes,3
