A,C,D,L,O,P,W
GP,18,U,mother,0,yes,no
GP,17,U,father,0,no,no
GP,15,U,mother,0,yes,no
GP,15,U,mother,0,no,yes
GP,16,U,father,0,no,no
GP,16,U,mother,0,no,no
GP,16,U,mother,0,no,no
GP,17,U,mother,0,yes,no
GP,15,U,mother,0,no,no
GP,15,U,mother,0,no,no
GP,15,U,mother,0,no,no
GP,15,U,father,0,no,no
GP,15,U,father,0,no,no
GP,15,U,mother,0,no,no
GP,15,U,other,0,no,yes
GP,16,U,mother,0,no,no
GP,16,U,mother,0,no,no
GP,16,U,mother,0,yes,no
GP,17,U,mother,3,no,no
GP,16,U,father,0,no,no
GP,15,U,mother,0,no,no
GP,15,U,father,0,no,no
GP,16,U,mother,0,no,no
GP,16,U,mother,0,no,no
GP,15,R,mother,0,yes,no
GP,16,U,mother,0,no,no
GP,15,U,mother,0,no,no
GP,15,U,mother,0,no,no
GP,16,U,mother,0,yes,no
GP,16,U,mother,0,no,yes
GP,15,U,mother,0,no,no
GP,15,U,mother,0,no,no
GP,15,R,mother,0,no,yes
GP,15,U,mother,0,no,no
GP,16,U,mother,0,no,no
GP,15,U,father,0,no,no
GP,15,U,mother,0,no,no
GP,16,R,mother,0,no,yes
GP,15,R,mother,0,yes,no
GP,15,R,mother,0,yes,no
GP,16,U,mother,0,no,yes
GP,15,U,other,0,no,yes
GP,15,U,father,0,no,no
GP,15,U,father,0,yes,no
GP,16,U,father,1,yes,no
GP,15,U,mother,0,yes,yes
GP,16,U,mother,0,no,no
GP,16,U,mother,0,no,no
GP,15,U,mother,0,no,no
GP,15,U,father,0,yes,no
GP,16,U,mother,0,no,no
GP,15,U,mother,0,no,no
GP,15,U,father,0,no,no
GP,15,U,mother,0,yes,no
GP,15,U,mother,0,no,no
GP,16,U,mother,0,no,yes
GP,15,U,mother,0,no,no
GP,15,U,mother,0,no,no
GP,15,U,father,0,yes,no
GP,16,U,mother,0,no,no
GP,16,R,mother,0,no,no
GP,16,U,father,0,yes,yes
GP,16,U,father,0,yes,no
GP,16,U,mother,0,yes,no
GP,15,U,father,0,yes,yes
GP,16,U,mother,0,no,no
GP,15,U,mother,0,no,yes
GP,16,U,mother,0,yes,no
GP,15,R,mother,0,yes,no
GP,15,R,father,0,no,no
GP,16,U,father,0,no,no
GP,15,U,mother,0,no,no
GP,15,R,mother,0,yes,yes
GP,16,U,mother,0,no,no
GP,16,U,mother,0,yes,no
GP,15,U,mother,0,no,no
GP,15,U,mother,0,no,no
GP,16,U,mother,0,no,yes
GP,17,U,mother,3,yes,no
GP,16,U,mother,0,no,no
GP,15,U,father,0,yes,yes
GP,15,U,mother,0,yes,no
GP,15,U,mother,0,no,no
GP,15,U,mother,0,no,no
GP,15,U,father,0,no,no
GP,15,U,father,0,no,yes
GP,16,U,mother,0,no,no
GP,15,U,mother,0,no,no
GP,16,U,father,0,no,no
GP,16,U,mother,0,no,no
GP,16,U,mother,0,no,yes
GP,15,U,mother,0,no,no
GP,16,U,father,0,yes,no
GP,16,U,mother,0,no,no
GP,15,U,mother,0,no,no
GP,15,R,mother,0,yes,no
GP,16,R,mother,0,yes,no
GP,16,U,mother,0,no,yes
GP,16,U,mother,0,no,no
GP,16,U,mother,0,yes,no
GP,16,U,mother,0,yes,no
GP,16,U,father,0,no,yes
GP,15,U,mother,0,no,no
GP,15,U,mother,0,yes,no
GP,15,U,mother,0,no,no
GP,15,U,father,0,yes,no
GP,15,U,mother,0,yes,no
GP,16,U,father,0,no,no
GP,15,R,father,0,no,yes
GP,16,U,mother,0,no,yes
GP,15,U,mother,0,no,no
GP,16,R,father,0,yes,no
GP,16,U,mother,1,yes,no
GP,15,U,mother,0,no,no
GP,15,R,mother,0,no,yes
GP,16,U,father,0,no,no
GP,15,U,father,0,no,no
GP,16,U,father,0,no,no
GP,17,R,father,1,no,no
GP,15,U,father,0,no,no
GP,15,U,mother,0,no,no
GP,15,U,father,0,no,no
GP,16,U,father,0,no,yes
GP,16,U,mother,0,no,no
GP,16,U,mother,0,no,yes
GP,15,U,father,0,yes,no
GP,15,U,mother,0,yes,yes
GP,19,U,other,2,no,no
GP,16,R,mother,0,no,no
GP,16,U,mother,0,no,yes
GP,15,R,father,0,no,yes
GP,18,U,mother,3,no,yes
GP,17,U,mother,0,no,no
GP,15,U,mother,0,no,yes
GP,17,U,father,0,no,yes
GP,16,U,father,0,no,no
GP,16,U,mother,0,no,no
GP,16,U,mother,1,no,no
GP,15,R,mother,0,no,yes
GP,15,U,mother,0,no,yes
GP,17,R,mother,0,no,no
GP,16,R,mother,0,no,no
GP,18,U,mother,0,no,yes
GP,18,U,other,0,no,yes
GP,16,R,mother,0,no,yes
GP,16,U,other,0,no,yes
GP,16,U,mother,2,no,yes
GP,15,U,mother,0,no,no
GP,15,R,mother,1,no,yes
GP,15,U,father,0,yes,no
GP,15,U,mother,0,no,yes
GP,16,U,mother,0,no,no
GP,16,U,father,0,no,no
GP,15,U,mother,0,no,no
