A,B,D,E,G,H,I,J,N,Q,R,T,V
GP,F,U,GT3,4,4,at_home,teacher,2,no,no,yes,no
GP,F,U,GT3,1,1,at_home,other,2,yes,no,no,yes
GP,F,U,LE3,1,1,at_home,other,2,no,no,yes,yes
GP,F,U,GT3,4,2,health,services,3,yes,no,yes,yes
GP,F,U,GT3,3,3,other,other,2,yes,no,yes,no
GP,M,U,LE3,4,3,services,other,2,yes,no,yes,yes
GP,M,U,LE3,2,2,other,other,2,no,no,yes,yes
GP,F,U,GT3,4,4,other,teacher,2,yes,no,yes,no
GP,M,U,LE3,3,2,services,other,2,yes,no,yes,yes
GP,M,U,GT3,3,4,other,other,2,yes,no,yes,yes
GP,F,U,GT3,4,4,teacher,health,2,yes,no,yes,yes
GP,F,U,GT3,2,1,services,other,3,yes,no,yes,yes
GP,M,U,LE3,4,4,health,services,1,yes,no,yes,yes
GP,M,U,GT3,4,3,teacher,other,2,yes,no,yes,yes
GP,M,U,GT3,2,2,other,other,3,yes,no,yes,yes
GP,F,U,GT3,4,4,health,other,1,yes,no,yes,yes
GP,F,U,GT3,4,4,services,services,3,yes,no,yes,yes
GP,F,U,GT3,3,3,other,other,2,yes,no,yes,no
GP,M,U,GT3,3,2,services,services,1,yes,yes,yes,yes
GP,M,U,LE3,4,3,health,other,1,no,no,yes,yes
GP,M,U,GT3,4,3,teacher,other,2,no,no,yes,yes
GP,M,U,GT3,4,4,health,health,1,yes,yes,yes,yes
GP,M,U,LE3,4,2,teacher,other,2,no,no,yes,yes
GP,M,U,LE3,2,2,other,other,2,yes,no,yes,yes
GP,F,R,GT3,2,4,services,health,3,yes,no,yes,yes
GP,F,U,GT3,2,2,services,services,1,yes,no,no,yes
GP,M,U,GT3,2,2,other,other,1,yes,no,yes,yes
GP,M,U,GT3,4,2,health,services,1,no,no,yes,yes
GP,M,U,LE3,3,4,services,other,2,yes,yes,yes,yes
GP,M,U,GT3,4,4,teacher,teacher,2,yes,yes,yes,yes
GP,M,U,GT3,4,4,health,services,2,yes,yes,no,yes
GP,M,U,GT3,4,4,services,services,2,yes,no,yes,yes
GP,M,R,GT3,4,3,teacher,at_home,2,yes,no,yes,yes
GP,M,U,LE3,3,3,other,other,2,no,no,no,yes
GP,M,U,GT3,3,2,other,other,1,yes,no,no,yes
GP,F,U,GT3,2,3,other,other,1,yes,no,yes,no
GP,M,U,LE3,4,3,teacher,services,3,yes,no,yes,yes
GP,M,R,GT3,4,4,other,teacher,3,yes,no,yes,yes
GP,F,R,GT3,3,4,services,health,3,yes,no,yes,yes
GP,F,R,GT3,2,2,at_home,other,1,yes,no,yes,no
GP,F,U,LE3,2,2,other,other,2,yes,no,no,yes
GP,M,U,LE3,4,4,teacher,other,1,yes,no,no,yes
GP,M,U,GT3,4,4,services,teacher,2,yes,no,yes,yes
GP,M,U,GT3,2,2,services,services,1,yes,no,yes,yes
GP,F,U,LE3,2,2,other,at_home,2,no,no,yes,yes
GP,F,U,LE3,4,3,other,other,2,yes,yes,yes,yes
GP,F,U,LE3,3,3,other,services,2,yes,no,yes,yes
GP,M,U,GT3,4,3,health,services,4,no,no,yes,yes
GP,M,U,GT3,4,2,teacher,other,2,yes,no,yes,no
GP,F,U,GT3,4,4,services,teacher,2,yes,no,no,yes
