A,D,G,H,I,J,M,V
GP,U,4,4,at_home,teacher,2,no
GP,U,1,1,at_home,other,1,yes
GP,U,1,1,at_home,other,1,yes
GP,U,4,2,health,services,1,yes
GP,U,3,3,other,other,1,no
GP,U,4,3,services,other,1,yes
GP,U,2,2,other,other,1,yes
GP,U,4,4,other,teacher,2,no
GP,U,3,2,services,other,1,yes
GP,U,3,4,other,other,1,yes
GP,U,4,4,teacher,health,1,yes
GP,U,2,1,services,other,3,yes
GP,U,4,4,health,services,1,yes
GP,U,4,3,teacher,other,2,yes
GP,U,2,2,other,other,1,yes
GP,U,4,4,health,other,1,yes
GP,U,4,4,services,services,1,yes
GP,U,3,3,other,other,3,no
GP,U,3,2,services,services,1,yes
GP,U,4,3,health,other,1,yes
GP,U,4,3,teacher,other,1,yes
GP,U,4,4,health,health,1,yes
GP,U,4,2,teacher,other,1,yes
GP,U,2,2,other,other,2,yes
GP,R,2,4,services,health,1,yes
GP,U,2,2,services,services,1,yes
GP,U,2,2,other,other,1,yes
GP,U,4,2,health,services,1,yes
GP,U,3,4,services,other,1,yes
GP,U,4,4,teacher,teacher,1,yes
GP,U,4,4,health,services,1,yes
GP,U,4,4,services,services,2,yes
GP,R,4,3,teacher,at_home,1,yes
GP,U,3,3,other,other,1,yes
GP,U,3,2,other,other,1,yes
GP,U,2,3,other,other,2,no
GP,U,4,3,teacher,services,1,yes
GP,R,4,4,other,teacher,2,yes
GP,R,3,4,services,health,1,yes
GP,R,2,2,at_home,other,1,no
GP,U,2,2,other,other,2,yes
GP,U,4,4,teacher,other,1,yes
GP,U,4,4,services,teacher,1,yes
GP,U,2,2,services,services,1,yes
GP,U,2,2,other,at_home,2,yes
GP,U,4,3,other,other,1,yes
GP,U,3,3,other,services,1,yes
GP,U,4,3,health,services,1,yes
GP,U,4,2,teacher,other,1,no
GP,U,4,4,services,teacher,1,yes
GP,U,2,2,services,services,3,yes
GP,U,4,2,health,other,1,yes
GP,U,4,2,health,health,2,no
GP,U,4,4,services,services,1,yes
GP,U,3,3,other,other,1,yes
GP,U,2,1,other,other,1,yes
GP,U,4,3,services,services,1,yes
GP,U,4,4,teacher,health,1,no
GP,U,1,2,other,at_home,1,yes
GP,U,4,2,services,other,1,yes
GP,R,4,4,health,teacher,1,no
GP,U,1,1,services,services,4,yes
GP,U,1,2,other,services,1,yes
GP,U,4,3,teacher,health,1,yes
GP,U,4,3,services,services,1,yes
GP,U,4,3,teacher,services,3,yes
GP,U,4,4,other,services,1,yes
GP,U,3,1,services,other,1,yes
GP,R,2,2,health,services,2,yes
GP,R,3,1,other,other,2,yes
GP,U,3,1,other,other,2,yes
GP,U,4,2,other,other,1,yes
GP,R,1,1,other,other,1,yes
GP,U,3,1,other,other,1,no
GP,U,3,3,other,services,1,yes
GP,U,4,3,teacher,other,1,yes
GP,U,4,0,teacher,other,2,yes
GP,U,2,2,other,other,1,yes
GP,U,2,1,other,other,2,yes
GP,U,3,4,at_home,other,1,yes
GP,U,2,3,other,services,1,yes
GP,U,2,3,other,other,1,yes
GP,U,3,2,services,other,1,yes
GP,U,2,2,services,services,2,yes
GP,U,1,1,other,other,1,yes
GP,U,4,4,services,services,2,yes
GP,U,2,2,at_home,other,1,no
GP,U,4,2,other,other,1,yes
