D,G,H,I,J,O,U,V
U,4,4,at_home,teacher,0,yes,no
U,1,1,at_home,other,0,yes,yes
U,1,1,at_home,other,0,yes,yes
U,4,2,health,services,0,yes,yes
U,3,3,other,other,0,yes,no
U,4,3,services,other,0,yes,yes
U,2,2,other,other,0,yes,yes
U,4,4,other,teacher,0,yes,no
U,3,2,services,other,0,yes,yes
U,3,4,other,other,0,yes,yes
U,4,4,teacher,health,0,yes,yes
U,2,1,services,other,0,yes,yes
U,4,4,health,services,0,yes,yes
U,4,3,teacher,other,0,yes,yes
U,2,2,other,other,0,yes,yes
U,4,4,health,other,0,yes,yes
U,4,4,services,services,0,yes,yes
U,3,3,other,other,0,yes,no
U,3,2,services,services,3,yes,yes
U,4,3,health,other,0,yes,yes
U,4,3,teacher,other,0,yes,yes
U,4,4,health,health,0,yes,yes
U,4,2,teacher,other,0,yes,yes
U,2,2,other,other,0,yes,yes
R,2,4,services,health,0,yes,yes
U,2,2,services,services,0,yes,yes
U,2,2,other,other,0,yes,yes
U,4,2,health,services,0,yes,yes
U,3,4,services,other,0,yes,yes
U,4,4,teacher,teacher,0,yes,yes
U,4,4,health,services,0,yes,yes
U,4,4,services,services,0,yes,yes
R,4,3,teacher,at_home,0,yes,yes
U,3,3,other,other,0,yes,yes
U,3,2,other,other,0,yes,yes
U,2,3,other,other,0,yes,no
U,4,3,teacher,services,0,yes,yes
R,4,4,other,teacher,0,yes,yes
R,3,4,services,health,0,yes,yes
R,2,2,at_home,other,0,yes,no
U,2,2,other,other,0,yes,yes
U,4,4,teacher,other,0,yes,yes
U,4,4,services,teacher,0,yes,yes
U,2,2,services,services,0,yes,yes
U,2,2,other,at_home,1,yes,yes
U,4,3,other,other,0,yes,yes
U,3,3,other,services,0,yes,yes
U,4,3,health,services,0,yes,yes
U,4,2,teacher,other,0,yes,no
U,4,4,services,teacher,0,yes,yes
U,2,2,services,services,0,yes,yes
U,4,2,health,other,0,yes,yes
U,4,2,health,health,0,yes,no
U,4,4,services,services,0,yes,yes
U,3,3,other,other,0,yes,yes
U,2,1,other,other,0,yes,yes
U,4,3,services,services,0,yes,yes
U,4,4,teacher,health,0,yes,no
U,1,2,other,at_home,0,yes,yes
U,4,2,services,other,0,yes,yes
R,4,4,health,teacher,0,yes,no
U,1,1,services,services,0,yes,yes
U,1,2,other,services,0,yes,yes
U,4,3,teacher,health,0,yes,yes
U,4,3,services,services,0,yes,yes
U,4,3,teacher,services,0,yes,yes
U,4,4,other,services,0,yes,yes
U,3,1,services,other,0,yes,yes
R,2,2,health,services,0,yes,yes
R,3,1,other,other,0,yes,yes
U,3,1,other,other,0,yes,yes
U,4,2,other,other,0,yes,yes
R,1,1,other,other,0,yes,yes
U,3,1,other,other,0,yes,no
U,3,3,other,services,0,yes,yes
U,4,3,teacher,other,0,yes,yes
U,4,0,teacher,other,0,yes,yes
U,2,2,other,other,0,yes,yes
U,2,1,other,other,3,no,yes
U,3,4,at_home,other,0,yes,yes
U,2,3,other,services,0,yes,yes
U,2,3,other,other,0,yes,yes
U,3,2,services,other,0,yes,yes
U,2,2,services,services,0,yes,yes
U,1,1,other,other,0,yes,yes
U,4,4,services,services,0,yes,yes
U,2,2,at_home,other,0,yes,no
U,4,2,other,other,0,yes,yes
U,2,2,services,other,0,yes,yes
U,4,4,teacher,health,0,yes,no
U,3,3,other,other,0,yes,yes
U,4,3,services,other,0,yes,yes
U,3,1,other,other,0,yes,no
U,4,2,teacher,services,0,yes,yes
U,2,2,services,health,0,yes,yes
R,1,1,at_home,other,0,yes,yes
R,4,3,services,other,0,yes,yes
U,2,1,other,other,0,yes,no
U,4,4,other,other,0,yes,yes
U,4,3,other,at_home,0,yes,yes
U,4,4,services,services,0,yes,yes
U,4,4,services,teacher,0,yes,yes
U,4,4,services,other,0,yes,yes
U,3,2,services,other,0,yes,yes
U,3,4,services,other,0,yes,yes
U,3,3,other,health,0,yes,no
U,2,2,other,other,0,yes,yes
U,3,3,services,other,0,yes,yes
R,4,4,other,other,0,yes,yes
U,4,4,health,health,0,yes,yes
U,4,4,teacher,teacher,0,yes,yes
R,3,3,services,other,0,yes,yes
U,2,2,at_home,other,1,yes,yes
U,4,2,teacher,other,0,yes,yes
R,2,1,health,services,0,yes,yes
U,4,4,teacher,teacher,0,yes,yes
U,4,4,other,teacher,0,yes,no
U,3,3,other,services,0,yes,yes
R,1,3,other,other,1,yes,yes
U,3,4,other,other,0,yes,yes
U,1,2,at_home,services,0,yes,yes
U,2,2,services,services,0,yes,yes
U,2,4,other,health,0,yes,yes
U,4,4,health,other,0,yes,yes
U,2,2,other,other,0,yes,yes
U,3,4,services,services,0,yes,yes
U,3,4,other,other,0,yes,yes
U,0,1,at_home,other,2,no,no
R,4,4,teacher,teacher,0,yes,yes
U,2,3,other,other,0,yes,yes
R,3,4,services,teacher,0,yes,yes
U,2,1,services,other,3,no,yes
U,2,1,other,other,0,yes,yes
U,1,1,at_home,other,0,yes,yes
U,2,2,other,other,0,yes,yes
U,3,4,services,other,0,yes,yes
U,2,1,at_home,other,0,yes,no
U,2,2,other,other,1,yes,no
R,3,4,at_home,teacher,0,yes,no
U,4,4,services,at_home,0,yes,yes
R,3,4,at_home,other,0,yes,no
R,1,1,at_home,other,0,yes,no
U,3,1,services,services,0,yes,yes
U,3,2,other,services,0,yes,yes
R,1,1,other,services,0,yes,no
U,3,3,other,other,0,yes,yes
U,1,1,services,other,2,yes,no
U,4,4,teacher,teacher,0,yes,yes
R,1,1,other,other,1,yes,yes
U,4,3,teacher,services,0,yes,yes
U,3,3,services,services,0,yes,no
U,4,4,services,services,0,yes,yes
U,2,2,services,services,0,yes,yes
U,4,4,teacher,services,0,yes,yes
U,1,1,at_home,at_home,0,yes,yes
U,2,1,other,other,0,yes,yes
U,1,1,other,services,0,yes,yes
U,2,1,at_home,other,0,no,yes
U,3,2,health,services,1,yes,yes
U,1,2,at_home,other,0,yes,yes
U,1,2,at_home,services,0,yes,no
U,4,4,teacher,teacher,0,no,yes
U,2,1,services,other,0,yes,yes
U,1,1,other,other,2,no,yes
U,2,1,at_home,other,1,yes,no
R,3,3,services,services,0,yes,yes
U,3,2,services,at_home,0,no,yes
U,4,4,other,teacher,0,yes,no
R,2,3,at_home,services,0,yes,no
R,1,2,other,other,3,yes,no
R,1,1,at_home,other,3,yes,no
R,2,2,at_home,other,0,yes,no
U,3,3,other,services,1,yes,yes
U,1,2,health,services,2,yes,yes
R,2,1,at_home,other,1,no,yes
R,3,2,other,other,2,yes,yes
