HRBP,VENTMACH,VENTTUBE,ANAPHYLAXIS,PULMEMBOLUS,ERRCAUTER,INSUFFANESTH,LVFAILURE,LVEDVOLUME,INTUBATION,EXPCO2,PVSAT,PAP,CO,MINVOL,HRSAT,HREKG,PCWP,KINKEDTUBE,VENTALV,SHUNT,TPR
NORMAL,HIGH,HIGH,False,False,False,False,False,NORMAL,NORMAL,LOW,HIGH,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,False,HIGH,NORMAL,NORMAL
HIGH,HIGH,HIGH,False,False,False,False,False,NORMAL,NORMAL,LOW,HIGH,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,False,HIGH,NORMAL,HIGH
HIGH,HIGH,HIGH,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,NORMAL
LOW,HIGH,HIGH,False,False,False,False,False,NORMAL,NORMAL,LOW,HIGH,NORMAL,HIGH,HIGH,LOW,LOW,NORMAL,False,HIGH,NORMAL,HIGH
LOW,HIGH,HIGH,False,False,False,True,False,NORMAL,NORMAL,LOW,HIGH,NORMAL,NORMAL,HIGH,LOW,LOW,NORMAL,False,HIGH,NORMAL,HIGH
HIGH,HIGH,HIGH,False,False,False,False,False,NORMAL,NORMAL,LOW,HIGH,NORMAL,NORMAL,HIGH,HIGH,HIGH,NORMAL,False,HIGH,HIGH,LOW
HIGH,HIGH,HIGH,False,False,False,False,False,NORMAL,NORMAL,LOW,HIGH,NORMAL,NORMAL,LOW,HIGH,HIGH,NORMAL,False,HIGH,NORMAL,NORMAL
HIGH,HIGH,HIGH,False,False,False,False,True,LOW,NORMAL,LOW,HIGH,NORMAL,LOW,HIGH,HIGH,HIGH,LOW,False,HIGH,HIGH,NORMAL
HIGH,HIGH,NORMAL,False,False,False,False,False,HIGH,NORMAL,HIGH,LOW,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,False,LOW,NORMAL,LOW
HIGH,HIGH,HIGH,False,False,False,False,False,NORMAL,NORMAL,LOW,HIGH,NORMAL,HIGH,LOW,HIGH,HIGH,NORMAL,False,HIGH,NORMAL,LOW
HIGH,HIGH,NORMAL,False,False,False,True,False,NORMAL,NORMAL,HIGH,LOW,NORMAL,NORMAL,LOW,HIGH,HIGH,NORMAL,False,LOW,NORMAL,LOW
NORMAL,HIGH,HIGH,False,False,False,False,False,NORMAL,NORMAL,LOW,NORMAL,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,False,HIGH,NORMAL,NORMAL
LOW,HIGH,HIGH,False,False,True,False,False,HIGH,NORMAL,LOW,HIGH,NORMAL,NORMAL,HIGH,NORMAL,HIGH,HIGH,False,HIGH,NORMAL,LOW
HIGH,HIGH,HIGH,False,False,False,True,False,NORMAL,NORMAL,LOW,HIGH,NORMAL,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL,NORMAL
HIGH,HIGH,HIGH,False,False,False,False,False,NORMAL,NORMAL,HIGH,HIGH,NORMAL,HIGH,HIGH,HIGH,HIGH,LOW,False,HIGH,NORMAL,NORMAL
HIGH,HIGH,HIGH,False,False,False,False,False,NORMAL,NORMAL,NORMAL,LOW,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,LOW
LOW,HIGH,HIGH,False,True,False,False,False,NORMAL,NORMAL,LOW,HIGH,HIGH,NORMAL,HIGH,LOW,LOW,NORMAL,False,HIGH,HIGH,HIGH
LOW,HIGH,HIGH,False,False,False,False,False,HIGH,NORMAL,LOW,HIGH,NORMAL,LOW,HIGH,LOW,HIGH,HIGH,False,HIGH,NORMAL,HIGH
HIGH,HIGH,HIGH,True,False,False,False,False,NORMAL,NORMAL,LOW,HIGH,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,False,HIGH,NORMAL,LOW
LOW,HIGH,HIGH,False,False,False,False,False,NORMAL,NORMAL,LOW,HIGH,NORMAL,NORMAL,HIGH,LOW,LOW,NORMAL,False,HIGH,NORMAL,NORMAL
HIGH,HIGH,NORMAL,False,False,False,False,False,HIGH,NORMAL,HIGH,LOW,NORMAL,HIGH,LOW,HIGH,HIGH,HIGH,False,LOW,NORMAL,NORMAL
HIGH,HIGH,HIGH,False,False,False,True,False,HIGH,NORMAL,LOW,LOW,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL,LOW
HIGH,HIGH,HIGH,False,False,False,False,False,NORMAL,NORMAL,LOW,HIGH,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,False,HIGH,NORMAL,NORMAL
LOW,HIGH,HIGH,False,False,False,False,False,HIGH,NORMAL,LOW,HIGH,NORMAL,NORMAL,HIGH,LOW,LOW,HIGH,False,HIGH,HIGH,NORMAL
