HRBP,VENTMACH,VENTTUBE,ANAPHYLAXIS,PULMEMBOLUS,ERRCAUTER,INSUFFANESTH,LVFAILURE,LVEDVOLUME,INTUBATION,EXPCO2,PVSAT,PAP,CO,MINVOL,HRSAT,HREKG,PCWP,KINKEDTUBE,VENTALV,SHUNT,TPR,VENTLUNG,ARTCO2,HR,FIO2,CVP,SAO2,PRESS,HYPOVOLEMIA,CATECHOL,DISCONNECT,STROKEVOLUME,BP,ERRLOWOUTPUT,MINVOLSET,HISTORY
HIGH,HIGH,HIGH,False,False,False,False,False,NORMAL,NORMAL,ZERO,HIGH,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,False,HIGH,NORMAL,LOW,LOW,NORMAL,HIGH,NORMAL,NORMAL,HIGH,LOW,False,HIGH,False,NORMAL,LOW,False,HIGH,False
HIGH,HIGH,HIGH,False,False,False,True,False,LOW,NORMAL,ZERO,HIGH,NORMAL,HIGH,HIGH,HIGH,HIGH,LOW,False,HIGH,NORMAL,LOW,LOW,NORMAL,HIGH,NORMAL,LOW,HIGH,LOW,False,HIGH,False,NORMAL,LOW,False,HIGH,False
HIGH,HIGH,HIGH,False,False,False,False,False,NORMAL,ONESIDED,HIGH,LOW,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,False,LOW,HIGH,NORMAL,HIGH,HIGH,HIGH,NORMAL,NORMAL,LOW,HIGH,False,HIGH,False,NORMAL,HIGH,False,HIGH,False
HIGH,HIGH,HIGH,False,False,False,False,False,NORMAL,ONESIDED,HIGH,LOW,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,False,LOW,HIGH,NORMAL,HIGH,NORMAL,HIGH,NORMAL,NORMAL,LOW,HIGH,False,HIGH,False,NORMAL,LOW,False,HIGH,False
LOW,HIGH,HIGH,False,False,False,False,False,NORMAL,NORMAL,LOW,HIGH,LOW,NORMAL,HIGH,LOW,LOW,NORMAL,False,HIGH,NORMAL,HIGH,LOW,LOW,NORMAL,NORMAL,NORMAL,HIGH,LOW,False,NORMAL,False,NORMAL,HIGH,False,HIGH,False
HIGH,HIGH,HIGH,False,False,False,True,False,NORMAL,NORMAL,LOW,HIGH,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,False,HIGH,NORMAL,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,HIGH,LOW,False,HIGH,False,NORMAL,HIGH,False,HIGH,False
HIGH,HIGH,HIGH,False,False,False,False,False,NORMAL,NORMAL,ZERO,HIGH,NORMAL,NORMAL,HIGH,HIGH,HIGH,NORMAL,False,HIGH,HIGH,NORMAL,LOW,NORMAL,HIGH,NORMAL,NORMAL,LOW,LOW,False,HIGH,False,NORMAL,NORMAL,False,HIGH,False
HIGH,HIGH,HIGH,False,False,False,False,False,NORMAL,NORMAL,LOW,HIGH,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,False,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,LOW,LOW,False,HIGH,False,NORMAL,HIGH,False,HIGH,False
NORMAL,HIGH,HIGH,False,False,False,False,False,NORMAL,NORMAL,LOW,HIGH,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,False,HIGH,NORMAL,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,HIGH,NORMAL,False,HIGH,False,NORMAL,NORMAL,True,HIGH,False
HIGH,HIGH,HIGH,False,False,False,False,False,NORMAL,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,False,HIGH,NORMAL,LOW,LOW,LOW,HIGH,NORMAL,NORMAL,HIGH,LOW,False,HIGH,False,NORMAL,LOW,False,HIGH,False
LOW,HIGH,HIGH,False,False,False,False,False,NORMAL,NORMAL,LOW,HIGH,NORMAL,HIGH,HIGH,LOW,LOW,NORMAL,False,HIGH,NORMAL,HIGH,LOW,LOW,NORMAL,NORMAL,NORMAL,HIGH,LOW,False,NORMAL,False,HIGH,HIGH,False,NORMAL,False
HIGH,HIGH,HIGH,False,False,False,False,False,NORMAL,NORMAL,LOW,HIGH,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,False,HIGH,NORMAL,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,HIGH,LOW,False,HIGH,False,NORMAL,HIGH,False,NORMAL,False
HIGH,HIGH,HIGH,False,False,False,False,False,NORMAL,NORMAL,LOW,HIGH,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,False,HIGH,NORMAL,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,HIGH,LOW,False,HIGH,False,NORMAL,HIGH,False,NORMAL,False
LOW,HIGH,HIGH,False,False,False,False,False,HIGH,NORMAL,LOW,HIGH,NORMAL,LOW,HIGH,LOW,HIGH,HIGH,False,HIGH,NORMAL,HIGH,LOW,LOW,NORMAL,NORMAL,HIGH,HIGH,LOW,True,NORMAL,False,LOW,LOW,False,NORMAL,False
HIGH,HIGH,HIGH,False,False,False,False,True,LOW,NORMAL,LOW,HIGH,NORMAL,NORMAL,HIGH,HIGH,HIGH,LOW,False,HIGH,NORMAL,LOW,LOW,LOW,HIGH,NORMAL,LOW,HIGH,LOW,False,HIGH,False,LOW,LOW,False,HIGH,True
HIGH,HIGH,HIGH,False,False,False,False,False,HIGH,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,HIGH,True,ZERO,NORMAL,LOW,ZERO,HIGH,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH,False,NORMAL,LOW,False,HIGH,False
LOW,HIGH,HIGH,False,False,False,False,False,NORMAL,ESOPHAGEAL,ZERO,HIGH,NORMAL,NORMAL,LOW,LOW,LOW,NORMAL,False,HIGH,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,HIGH,HIGH,False,NORMAL,False,NORMAL,NORMAL,False,HIGH,False
LOW,HIGH,HIGH,False,False,False,False,False,NORMAL,NORMAL,LOW,HIGH,HIGH,NORMAL,HIGH,LOW,LOW,NORMAL,False,HIGH,NORMAL,HIGH,LOW,LOW,NORMAL,NORMAL,HIGH,HIGH,LOW,False,NORMAL,False,NORMAL,NORMAL,False,NORMAL,False
