index,Order ID,Date,Status,Fulfilment,Sales Channel ,ship-service-level,Style,SKU,Category,Size,ASIN,Courier Status,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,B2B,fulfilled-by,Unnamed: 22
113279,408-3204344-1997117,2006/11/22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0230,J0230-SKD-S,Set,S,B08XNJ19QH,Shipped,1,INR,1163,NEW DELHI,DELHI,110003,IN,Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC;Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2;Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2;Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ;Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76;Amazon PLCC Free-Financing Universal Merchant AAT-SL3Y2YRMAUNFC;Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C;Amazon PLCC Free-Financing Universal Merchant AAT-EWAPBB6BDRGM6;Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I;Amazon PLCC Free-Financing Universal Merchant AAT-NT3ZJJGQ3JK3Q;Amazon PLCC Free-Financing Universal Merchant AAT-AMKH7SAAONETC;Amazon PLCC Free-Financing Universal Merchant AAT-56XNPXK2K7OLI;Amazon PLCC Free-Financing Universal Merchant AAT-6XVEGAWJUJYXG;Amazon PLCC Free-Financing Universal Merchant AAT-ZBCRDPHJI4UDO;Amazon PLCC Free-Financing Universal Merchant AAT-CMBNOJYSQPOPS;Amazon PLCC Free-Financing Universal Merchant AAT-IBN3WODYJ44YC;Amazon PLCC Free-Financing Universal Merchant AAT-W2F65W44TEYES;Amazon PLCC Free-Financing Universal Merchant AAT-ZBGDWJCP6BTLE;Amazon PLCC Free-Financing Universal Merchant AAT-5DVF2TMYR72D4;Amazon PLCC Free-Financing Universal Merchant AAT-BOWEMQBNNNHBK;Amazon PLCC Free-Financing Universal Merchant AAT-SKYXW7T3UZBGO;Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO;Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO;Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC;Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811;Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4,False,Easy Ship,False
62283,402-2870358-9489160,05-21-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3709,JNE3709-DR-XL,Western Dress,XL,B091SZ58P5,Shipped,1,INR,792,NEW DELHI,DELHI,110008,IN,Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC;Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2;Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2;Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ;Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76;Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C;Amazon PLCC Free-Financing Universal Merchant AAT-FYWJCQHU2XQ2U;Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I;Amazon PLCC Free-Financing Universal Merchant AAT-URPEBMPS7TSPE;Amazon PLCC Free-Financing Universal Merchant AAT-5ZEB2OGNZ32MC;Amazon PLCC Free-Financing Universal Merchant AAT-4ZN7U6MMDFGWM;Amazon PLCC Free-Financing Universal Merchant AAT-PAWHL2EB33U42;Amazon PLCC Free-Financing Universal Merchant AAT-7WX4JYESZISLU;Amazon PLCC Free-Financing Universal Merchant AAT-CIX56SGGAWUYW;Amazon PLCC Free-Financing Universal Merchant AAT-DMQVBJASKTAHS;Amazon PLCC Free-Financing Universal Merchant AAT-H7DZACP4NHMJM;Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO;Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO;Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC;Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811;Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4,False,Easy Ship,False
85175,403-1274730-7573167,2005/3/22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET014,SET014-KR-PP-XXXL,Set,3XL,B07K5BD23T,Shipped,1,INR,818,Delhi,Delhi,110009,IN,Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC;Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2;Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2;Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ;Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76;Amazon PLCC Free-Financing Universal Merchant AAT-SL3Y2YRMAUNFC;Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C;Amazon PLCC Free-Financing Universal Merchant AAT-FYWJCQHU2XQ2U;Amazon PLCC Free-Financing Universal Merchant AAT-CXNSLNBROFDW4;Amazon PLCC Free-Financing Universal Merchant AAT-R7GXNZWISTRFA;Amazon PLCC Free-Financing Universal Merchant AAT-WSJLDN3X7KEMO;Amazon PLCC Free-Financing Universal Merchant AAT-VL6FGQVGQVXUS;Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I;Amazon PLCC Free-Financing Universal Merchant AAT-URPEBMPS7TSPE;Amazon PLCC Free-Financing Universal Merchant AAT-3R6UGYISJQCKA;Amazon PLCC Free-Financing Universal Merchant AAT-TREXU6MY3SEMI;Amazon PLCC Free-Financing Universal Merchant AAT-CPIZVVXYOLZ5S;Amazon PLCC Free-Financing Universal Merchant AAT-BS2QIL3ZUUJDC;Amazon PLCC Free-Financing Universal Merchant AAT-BD2QQYQLU3K3Q;Amazon PLCC Free-Financing Universal Merchant AAT-7Z5FYSWV55YJ6;Amazon PLCC Free-Financing Universal Merchant AAT-KQRYFJZLTA6E2;Amazon PLCC Free-Financing Universal Merchant AAT-F6SN46VZWQOQI;Amazon PLCC Free-Financing Universal Merchant AAT-GL6VKXK3MYVP4;Amazon PLCC Free-Financing Universal Merchant AAT-26CRLBGU7BZ4I;Amazon PLCC Free-Financing Universal Merchant AAT-EC3WUB2OYMZJY;Amazon PLCC Free-Financing Universal Merchant AAT-LLHTF3J4EFYUO;Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO;Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO;Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC;Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811;Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4,False,Easy Ship,False
107257,405-8179062-8710716,06-15-22,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,J0308,J0308-DR-XL,Western Dress,XL,B099NS3FWG,Shipped,1,INR,879,NEW DELHI,DELHI,110014,IN,Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC;Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2;Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2;Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ;Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76;Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C;Amazon PLCC Free-Financing Universal Merchant AAT-EWAPBB6BDRGM6;Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I;Amazon PLCC Free-Financing Universal Merchant AAT-NT3ZJJGQ3JK3Q;Amazon PLCC Free-Financing Universal Merchant AAT-5SHH3G55USK5C;Amazon PLCC Free-Financing Universal Merchant AAT-YV4X6QSRBRG62;Amazon PLCC Free-Financing Universal Merchant AAT-5QNBXTEQWGXOW;Amazon PLCC Free-Financing Universal Merchant AAT-BOWEMQBNNNHBK;Amazon PLCC Free-Financing Universal Merchant AAT-SKYXW7T3UZBGO;Amazon PLCC Free-Financing Universal Merchant AAT-ILWGDKTQOJRNA;Amazon PLCC Free-Financing Universal Merchant AAT-ONHQI6RQUNGB6;Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO;Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO;Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC;Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811;Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4,False,Easy Ship,False
98395,404-5016138-5066736,06-23-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0230,J0230-SKD-XXXL,Set,3XL,B08XNH9MJL,Shipped,1,INR,1163,NEW DELHI,DELHI,110015,IN,Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC;Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2;Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2;Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ;Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76;Amazon PLCC Free-Financing Universal Merchant AAT-SL3Y2YRMAUNFC;Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C;Amazon PLCC Free-Financing Universal Merchant AAT-EWAPBB6BDRGM6;Amazon PLCC Free-Financing Universal Merchant AAT-WSJLDN3X7KEMO;Amazon PLCC Free-Financing Universal Merchant AAT-VL6FGQVGQVXUS;Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I;Amazon PLCC Free-Financing Universal Merchant AAT-NT3ZJJGQ3JK3Q;Amazon PLCC Free-Financing Universal Merchant AAT-AMKH7SAAONETC;Amazon PLCC Free-Financing Universal Merchant AAT-56XNPXK2K7OLI;Amazon PLCC Free-Financing Universal Merchant AAT-7IFG6TWAZNCBQ;Amazon PLCC Free-Financing Universal Merchant AAT-6XVEGAWJUJYXG;Amazon PLCC Free-Financing Universal Merchant AAT-BOWEMQBNNNHBK;Amazon PLCC Free-Financing Universal Merchant AAT-SKYXW7T3UZBGO;Amazon PLCC Free-Financing Universal Merchant AAT-ONHQI6RQUNGB6;Amazon PLCC Free-Financing Universal Merchant AAT-UFMRPWCRGE2ZM;Amazon PLCC Free-Financing Universal Merchant AAT-SF4YGC5K3O574;Amazon PLCC Free-Financing Universal Merchant AAT-SUBB5QVZKACYG;Amazon PLCC Free-Financing Universal Merchant AAT-CF5ZF57364I7G;Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO;Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO;Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC;Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811;Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4,False,Easy Ship,False
60251,404-7250402-8613113,05-23-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3645,JNE3645-TP-N-S,Top,S,B08ZHN6H5T,Shipped,1,INR,493,NEW DELHI,DELHI,110017,IN,Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC;Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2;Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2;Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ;Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76;Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C;Amazon PLCC Free-Financing Universal Merchant AAT-FYWJCQHU2XQ2U;Amazon PLCC Free-Financing Universal Merchant AAT-WSJLDN3X7KEMO;Amazon PLCC Free-Financing Universal Merchant AAT-VL6FGQVGQVXUS;Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I;Amazon PLCC Free-Financing Universal Merchant AAT-4ZN7U6MMDFGWM;Amazon PLCC Free-Financing Universal Merchant AAT-PAWHL2EB33U42;Amazon PLCC Free-Financing Universal Merchant AAT-7WX4JYESZISLU;Amazon PLCC Free-Financing Universal Merchant AAT-CIX56SGGAWUYW;Amazon PLCC Free-Financing Universal Merchant AAT-DMQVBJASKTAHS;Amazon PLCC Free-Financing Universal Merchant AAT-5VXFLMD6EKIFC;Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO;Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO;Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC;Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811;Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4,False,Easy Ship,False
64501,407-0925432-4528363,05-19-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET291,SET291-KR-PP-XL,Set,XL,B099NJV9X7,Shipped,1,INR,605,New Delhi,DELHI,110017,IN,Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC;Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2;Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2;Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ;Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76;Amazon PLCC Free-Financing Universal Merchant AAT-SL3Y2YRMAUNFC;Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C;Amazon PLCC Free-Financing Universal Merchant AAT-FYWJCQHU2XQ2U;Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I;Amazon PLCC Free-Financing Universal Merchant AAT-URPEBMPS7TSPE;Amazon PLCC Free-Financing Universal Merchant AAT-5ZEB2OGNZ32MC;Amazon PLCC Free-Financing Universal Merchant AAT-BAO77QKKMJQIM;Amazon PLCC Free-Financing Universal Merchant AAT-4ZN7U6MMDFGWM;Amazon PLCC Free-Financing Universal Merchant AAT-PAWHL2EB33U42;Amazon PLCC Free-Financing Universal Merchant AAT-7WX4JYESZISLU;Amazon PLCC Free-Financing Universal Merchant AAT-CIX56SGGAWUYW;Amazon PLCC Free-Financing Universal Merchant AAT-DMQVBJASKTAHS;Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO;Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO;Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC;Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811;Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4,False,Easy Ship,False
117624,171-8756118-5713939,2006/8/22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET183,SET183-KR-DH-M,Set,M,B08B3Z2YY3,Shipped,1,INR,759,NEW DELHI,DELHI,110018,IN,Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC;Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2;Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2;Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ;Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76;Amazon PLCC Free-Financing Universal Merchant AAT-SL3Y2YRMAUNFC;Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C;Amazon PLCC Free-Financing Universal Merchant AAT-EWAPBB6BDRGM6;Amazon PLCC Free-Financing Universal Merchant AAT-R7GXNZWISTRFA;Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I;Amazon PLCC Free-Financing Universal Merchant AAT-NT3ZJJGQ3JK3Q;Amazon PLCC Free-Financing Universal Merchant AAT-AMKH7SAAONETC;Amazon PLCC Free-Financing Universal Merchant AAT-56XNPXK2K7OLI;Amazon PLCC Free-Financing Universal Merchant AAT-6XVEGAWJUJYXG;Amazon PLCC Free-Financing Universal Merchant AAT-ZBCRDPHJI4UDO;Amazon PLCC Free-Financing Universal Merchant AAT-CMBNOJYSQPOPS;Amazon PLCC Free-Financing Universal Merchant AAT-IBN3WODYJ44YC;Amazon PLCC Free-Financing Universal Merchant AAT-W2F65W44TEYES;Amazon PLCC Free-Financing Universal Merchant AAT-ZBGDWJCP6BTLE;Amazon PLCC Free-Financing Universal Merchant AAT-BOWEMQBNNNHBK;Amazon PLCC Free-Financing Universal Merchant AAT-SKYXW7T3UZBGO;Amazon PLCC Free-Financing Universal Merchant AAT-TNYBHEAO7HOHO;Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO;Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO;Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC;Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811;Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4;Amazon PLCC Free-Financing Universal Merchant AAT-QMFZ3M7T5NPDS;Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1601980554292,False,Easy Ship,False
76503,404-9899194-1746767,2005/9/22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET402,SET402-KR-NP-XL,Set,XL,B09VC53FQW,Shipped,1,INR,988,NEW DELHI,DELHI,110018,IN,Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC;Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2;Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2;Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ;Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76;Amazon PLCC Free-Financing Universal Merchant AAT-SL3Y2YRMAUNFC;Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C;Amazon PLCC Free-Financing Universal Merchant AAT-FYWJCQHU2XQ2U;Amazon PLCC Free-Financing Universal Merchant AAT-R7GXNZWISTRFA;Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I;VPC-44571-38708638 Coupon;Amazon PLCC Free-Financing Universal Merchant AAT-URPEBMPS7TSPE;Amazon PLCC Free-Financing Universal Merchant AAT-L2DLP5YGE5766;Amazon PLCC Free-Financing Universal Merchant AAT-ZF7YE6D3FPHMI;Amazon PLCC Free-Financing Universal Merchant AAT-TNYHCYLOWRIHK;Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO;Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO;Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC;Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811;Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4,False,Easy Ship,False
76226,403-5029793-4694721,2005/9/22,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,JNE3691,JNE3691-TU-L,Top,L,B0986VTQL7,Shipped,1,INR,690,NEW DELHI,DELHI,110019,IN,Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC;Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2;Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2;Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ;Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76;Amazon PLCC Free-Financing Universal Merchant AAT-SL3Y2YRMAUNFC;Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C;Amazon PLCC Free-Financing Universal Merchant AAT-FYWJCQHU2XQ2U;Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I;Amazon PLCC Free-Financing Universal Merchant AAT-URPEBMPS7TSPE;Amazon PLCC Free-Financing Universal Merchant AAT-BQZALNWZFFNH2;Amazon PLCC Free-Financing Universal Merchant AAT-OPAYH3LG6H75G;Amazon PLCC Free-Financing Universal Merchant AAT-ZF7YE6D3FPHMI;Amazon PLCC Free-Financing Universal Merchant AAT-TNYHCYLOWRIHK;Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO;Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO;Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC;Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811;Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4,False,Easy Ship,False
