Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,UniqueCarrier,AirlineID,Carrier,TailNum,FlightNum,OriginAirportID
2012,4,12,3,1,2012/12/3,DL,19790,DL,N391DA,1,14869
2012,4,12,21,5,2012/12/21,AA,19805,AA,N339AA,2,12892
2012,4,12,13,4,2012/12/13,US,20355,US,N553UW,3,14107
2012,4,12,9,7,2012/12/9,HA,19690,HA,N588HA,4,12173
2012,4,12,11,2,2012/12/11,B6,20409,B6,N323JB,5,10792
2012,4,11,8,4,2012/11/8,AA,19805,AA,N368AA,6,13830
2012,4,12,10,1,2012/12/10,WN,19393,WN,N520SW,7,12896
2012,4,12,31,1,2012/12/31,WN,19393,WN,N478WN,8,10397
2012,4,12,18,2,2012/12/18,FL,20437,FL,N896AT,9,10821
2012,4,12,17,1,2012/12/17,HA,19690,HA,N389HA,10,12173
2012,4,12,24,1,2012/12/24,WN,19393,WN,N655WN,12,12191
2012,4,12,11,2,2012/12/11,AA,19805,AA,N347AA,14,13830
2012,4,12,1,6,2012/12/1,UA,19977,UA,N13110,15,13204
2012,4,12,1,6,2012/12/1,US,20355,US,N542UW,16,12889
2012,4,12,25,2,2012/12/25,US,20355,US,N550UW,18,14107
2012,4,12,12,3,2012/12/12,AA,19805,AA,N339AA,19,12478
2012,4,12,19,3,2012/12/19,WN,19393,WN,N292WN,20,12191
2012,4,12,20,4,2012/12/20,FL,20437,FL,N922AT,21,10397
2012,4,12,14,5,2012/12/14,FL,20437,FL,N994AT,22,10397
2012,4,12,29,6,2012/12/29,FL,20437,FL,N992AT,23,10397
2012,4,12,13,4,2012/12/13,WN,19393,WN,N731SA,24,10279
2012,4,12,15,6,2012/12/15,AA,19805,AA,N3JTAA,25,10721
2012,4,12,3,1,2012/12/3,HA,19690,HA,N596HA,26,12173
2012,4,12,6,4,2012/12/6,VX,21171,VX,N522VA,27,12478
2012,4,12,11,2,2012/12/11,HA,19690,HA,N582HA,29,14747
2012,4,12,13,4,2012/12/13,AS,19930,AS,N512AS,30,14057
2012,4,11,14,3,2012/11/14,AA,19805,AA,N5ECAA,31,12892
2012,4,12,25,2,2012/12/25,WN,19393,WN,N451WN,32,14492
2012,4,12,22,6,2012/12/22,WN,19393,WN,N7738A,33,12889
2012,4,12,5,3,2012/12/5,FL,20437,FL,N717JL,35,10397
2012,4,12,5,3,2012/12/5,WN,19393,WN,N740SW,36,12191
2012,4,12,28,5,2012/12/28,US,20355,US,N524UW,38,12892
2012,4,12,23,7,2012/12/23,WN,19393,WN,N520SW,40,12191
2012,4,12,1,6,2012/12/1,DL,19790,DL,N337NW,41,13487
2012,4,12,10,1,2012/12/10,B6,20409,B6,N597JB,44,12478
2012,4,12,14,5,2012/12/14,HA,19690,HA,N590HA,48,12173
2012,4,12,17,1,2012/12/17,FL,20437,FL,N338AT,51,10397
2012,4,12,16,7,2012/12/16,AS,19930,AS,N765AS,52,10754
2012,4,12,4,2,2012/12/4,US,20355,US,N673AW,53,14107
2012,4,12,21,5,2012/12/21,US,20355,US,N672AW,55,12889
2012,4,12,4,2,2012/12/4,WN,19393,WN,N484WN,59,13158
2012,4,11,20,2,2012/11/20,AA,19805,AA,N625AA,60,11298
2012,4,11,25,7,2012/11/25,AA,19805,AA,N5CPAA,61,13303
2012,4,12,21,5,2012/12/21,AS,19930,AS,N778AS,62,12523
2012,4,12,16,7,2012/12/16,US,20355,US,N642AW,64,14869
2012,4,12,3,1,2012/12/3,AS,19930,AS,N794AS,65,14256
2012,4,12,3,1,2012/12/3,DL,19790,DL,N911DL,66,13487
2012,4,12,18,2,2012/12/18,UA,19977,UA,N13248,67,12892
2012,4,12,16,7,2012/12/16,UA,19977,UA,N39423,73,11292
2012,4,12,12,3,2012/12/12,AS,19930,AS,N771AS,75,14747
2012,4,12,17,1,2012/12/17,US,20355,US,N654AW,81,14747
2012,4,12,30,7,2012/12/30,US,20355,US,N633AW,90,14107
2012,4,12,21,5,2012/12/21,DL,19790,DL,N397DA,92,12889
2012,4,12,4,2,2012/12/4,WN,19393,WN,N629SW,101,14492
2012,4,12,26,3,2012/12/26,FL,20437,FL,N977AT,102,10397
2012,4,12,9,7,2012/12/9,AS,19930,AS,N566AS,104,10299
2012,4,12,30,7,2012/12/30,UA,19977,UA,N73860,106,12892
2012,4,12,11,2,2012/12/11,WN,19393,WN,N291WN,107,10693
2012,4,12,28,5,2012/12/28,UA,19977,UA,N27421,108,12266
2012,4,12,5,3,2012/12/5,WN,19393,WN,N631SW,109,12889
2012,4,12,30,7,2012/12/30,DL,19790,DL,N709DN,110,10397
2012,4,12,20,4,2012/12/20,B6,20409,B6,N708JB,116,11697
2012,4,11,2,5,2012/11/2,AA,19805,AA,N324AA,117,12478
2012,4,12,11,2,2012/12/11,AA,19805,AA,N323AA,118,12892
2012,4,12,14,5,2012/12/14,US,20355,US,N904AW,119,12758
2012,4,12,31,1,2012/12/31,AS,19930,AS,N768AS,121,14747
2012,4,12,20,4,2012/12/20,AS,19930,AS,N713AS,122,11630
2012,4,12,17,1,2012/12/17,UA,19977,UA,N39461,124,14771
2012,4,12,2,7,2012/12/2,B6,20409,B6,N506JB,125,12478
2012,4,12,3,1,2012/12/3,DL,19790,DL,N609DL,128,14747
2012,4,12,13,4,2012/12/13,WN,19393,WN,N409WN,129,14771
2012,4,12,17,1,2012/12/17,FL,20437,FL,N957AT,130,10397
2012,4,12,14,5,2012/12/14,HA,19690,HA,N483HA,132,13830
2012,4,12,8,6,2012/12/8,VX,21171,VX,N836VA,137,14100
2012,4,12,9,7,2012/12/9,DL,19790,DL,N666DN,143,11433
2012,4,12,7,5,2012/12/7,HA,19690,HA,N477HA,144,12982
2012,4,12,25,2,2012/12/25,US,20355,US,N820AW,145,14107
2012,4,12,2,7,2012/12/2,DL,19790,DL,N919DE,151,11278
2012,4,12,20,4,2012/12/20,AS,19930,AS,N762AS,152,13873
2012,4,12,12,3,2012/12/12,AS,19930,AS,N763AS,153,13873
2012,4,12,31,1,2012/12/31,DL,19790,DL,N918DL,160,13303
2012,4,12,13,4,2012/12/13,UA,19977,UA,N17104,161,12478
2012,4,12,3,1,2012/12/3,FL,20437,FL,N969AT,162,10397
2012,4,12,12,3,2012/12/12,WN,19393,WN,N269WN,163,12451
2012,4,12,26,3,2012/12/26,HA,19690,HA,N487HA,176,12173
2012,4,12,11,2,2012/12/11,WN,19393,WN,N751SW,179,13198
2012,4,12,6,4,2012/12/6,WN,19393,WN,N926WN,180,14107
2012,4,12,10,1,2012/12/10,HA,19690,HA,N478HA,181,12402
2012,4,12,11,2,2012/12/11,AS,19930,AS,N792AS,183,10299
2012,4,12,14,5,2012/12/14,FL,20437,FL,N608AT,184,10821
2012,4,12,21,5,2012/12/21,US,20355,US,N552UW,192,13930
2012,4,12,13,4,2012/12/13,F9,20436,F9,N201FR,195,11292
2012,4,12,2,7,2012/12/2,UA,19977,UA,N211UA,200,12016
2012,4,12,7,5,2012/12/7,F9,20436,F9,N921FR,201,11292
