Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,UniqueCarrier,AirlineID,Carrier,TailNum,FlightNum,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac
2012,4,12,29,6,2012/12/29,AA,19805,AA,N325AA,1,12478,1247802,31703,JFK,"New York, NY",NY,36,New York,22
2012,4,12,26,3,2012/12/26,VX,21171,VX,N855VA,2,11278,1127802,30852,DCA,"Washington, DC",VA,51,Virginia,38
2012,4,12,19,3,2012/12/19,US,20355,US,N510UW,3,14771,1477101,32457,SFO,"San Francisco, CA",CA,6,California,91
2012,4,12,19,3,2012/12/19,US,20355,US,N544UW,4,13930,1393002,30977,ORD,"Chicago, IL",IL,17,Illinois,41
2012,4,12,12,3,2012/12/12,HA,19690,HA,N590HA,5,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85
2012,4,12,4,2,2012/12/4,DL,19790,DL,N712TW,6,12478,1247802,31703,JFK,"New York, NY",NY,36,New York,22
2012,4,12,16,7,2012/12/16,WN,19393,WN,N488WN,7,11259,1125903,30194,DAL,"Dallas, TX",TX,48,Texas,74
2012,4,12,29,6,2012/12/29,AS,19930,AS,N552AS,8,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93
2012,4,12,5,3,2012/12/5,WN,19393,WN,N389SW,9,14683,1468303,33214,SAT,"San Antonio, TX",TX,48,Texas,74
2012,4,12,13,4,2012/12/13,WN,19393,WN,N732SW,10,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
2012,4,12,12,3,2012/12/12,WN,19393,WN,N347SW,12,11259,1125903,30194,DAL,"Dallas, TX",TX,48,Texas,74
2012,4,12,24,1,2012/12/24,FL,20437,FL,N290AT,14,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34
2012,4,12,4,2,2012/12/4,UA,19977,UA,N66056,15,11618,1161802,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21
2012,4,12,21,5,2012/12/21,DL,19790,DL,N702DN,16,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6,California,91
2012,4,12,6,4,2012/12/6,FL,20437,FL,N943AT,18,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34
2012,4,12,4,2,2012/12/4,B6,20409,B6,N593JB,19,10785,1078502,30785,BTV,"Burlington, VT",VT,50,Vermont,16
2012,4,12,11,2,2012/12/11,FL,20437,FL,N285AT,20,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34
2012,4,12,18,2,2012/12/18,HA,19690,HA,N585HA,21,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93
2012,4,12,6,4,2012/12/6,VX,21171,VX,N639VA,22,14771,1477101,32457,SFO,"San Francisco, CA",CA,6,California,91
2012,4,12,31,1,2012/12/31,AS,19930,AS,N315AS,23,13930,1393002,30977,ORD,"Chicago, IL",IL,17,Illinois,41
2012,4,12,18,2,2012/12/18,US,20355,US,N673AW,24,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,4,Arizona,81
2012,4,12,8,6,2012/12/8,VX,21171,VX,N835VA,25,14771,1477101,32457,SFO,"San Francisco, CA",CA,6,California,91
2012,4,12,28,5,2012/12/28,VX,21171,VX,N853VA,26,14771,1477101,32457,SFO,"San Francisco, CA",CA,6,California,91
2012,4,12,6,4,2012/12/6,AS,19930,AS,N548AS,27,11697,1169703,32467,FLL,"Fort Lauderdale, FL",FL,12,Florida,33
2012,4,12,16,7,2012/12/16,HA,19690,HA,N582HA,29,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93
2012,4,12,3,1,2012/12/3,AA,19805,AA,N324AA,30,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6,California,91
2012,4,12,15,6,2012/12/15,B6,20409,B6,N594JB,31,12478,1247802,31703,JFK,"New York, NY",NY,36,New York,22
2012,4,11,24,6,2012/11/24,AA,19805,AA,N329AA,32,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6,California,91
2012,4,12,13,4,2012/12/13,WN,19393,WN,N514SW,33,11259,1125903,30194,DAL,"Dallas, TX",TX,48,Texas,74
2012,4,12,21,5,2012/12/21,HA,19690,HA,N584HA,35,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,4,Arizona,81
2012,4,12,30,7,2012/12/30,AS,19930,AS,N563AS,36,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93
2012,4,12,27,4,2012/12/27,UA,19977,UA,N75429,38,13930,1393002,30977,ORD,"Chicago, IL",IL,17,Illinois,41
2012,4,11,8,4,2012/11/8,AA,19805,AA,N323AA,40,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6,California,91
2012,4,12,12,3,2012/12/12,WN,19393,WN,N358SW,41,13891,1389101,32575,ONT,"Ontario, CA",CA,6,California,91
2012,4,12,14,5,2012/12/14,WN,19393,WN,N647SW,44,11259,1125903,30194,DAL,"Dallas, TX",TX,48,Texas,74
2012,4,12,5,3,2012/12/5,US,20355,US,N829AW,48,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85
2012,4,12,10,1,2012/12/10,HA,19690,HA,N381HA,51,12478,1247802,31703,JFK,"New York, NY",NY,36,New York,22
2012,4,12,25,2,2012/12/25,UA,19977,UA,N57862,52,12173,1217301,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2
2012,4,12,29,6,2012/12/29,US,20355,US,N660AW,53,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87
2012,4,12,10,1,2012/12/10,DL,19790,DL,N944DL,55,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34
2012,4,11,15,4,2012/11/15,AA,19805,AA,N324AA,59,12478,1247802,31703,JFK,"New York, NY",NY,36,New York,22
2012,4,12,5,3,2012/12/5,WN,19393,WN,N366SW,60,12191,1219102,31453,HOU,"Houston, TX",TX,48,Texas,74
2012,4,12,22,6,2012/12/22,FL,20437,FL,N934AT,61,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34
2012,4,12,1,6,2012/12/1,AS,19930,AS,N771AS,62,11630,1163002,31517,FAI,"Fairbanks, AK",AK,2,Alaska,1
2012,4,12,1,6,2012/12/1,AS,19930,AS,N768AS,64,10299,1029904,30299,ANC,"Anchorage, AK",AK,2,Alaska,1
2012,4,12,10,1,2012/12/10,AS,19930,AS,N767AS,65,12523,1252302,32523,JNU,"Juneau, AK",AK,2,Alaska,1
2012,4,12,3,1,2012/12/3,FL,20437,FL,N168AT,66,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34
2012,4,12,9,7,2012/12/9,DL,19790,DL,N925DN,67,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34
2012,4,12,18,2,2012/12/18,UA,19977,UA,N75435,73,10529,1052904,30529,BDL,"Hartford, CT",CT,9,Connecticut,11
2012,4,12,2,7,2012/12/2,US,20355,US,N672AW,75,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,4,Arizona,81
2012,4,12,11,2,2012/12/11,UA,19977,UA,N14237,81,11618,1161802,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21
2012,4,12,12,3,2012/12/12,VX,21171,VX,N625VA,90,14771,1477101,32457,SFO,"San Francisco, CA",CA,6,California,91
2012,4,12,20,4,2012/12/20,DL,19790,DL,N388DA,92,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85
2012,4,12,5,3,2012/12/5,WN,19393,WN,N723SW,101,10821,1082103,30852,BWI,"Baltimore, MD",MD,24,Maryland,35
2012,4,12,17,1,2012/12/17,HA,19690,HA,N475HA,102,12173,1217301,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2
2012,4,12,15,6,2012/12/15,B6,20409,B6,N309JB,104,12478,1247802,31703,JFK,"New York, NY",NY,36,New York,22
2012,4,12,3,1,2012/12/3,WN,19393,WN,N8602F,106,13232,1323202,30977,MDW,"Chicago, IL",IL,17,Illinois,41
2012,4,12,19,3,2012/12/19,WN,19393,WN,N291WN,107,14908,1490803,32575,SNA,"Santa Ana, CA",CA,6,California,91
2012,4,12,31,1,2012/12/31,UA,19977,UA,N19130,108,13930,1393002,30977,ORD,"Chicago, IL",IL,17,Illinois,41
2012,4,12,15,6,2012/12/15,UA,19977,UA,N77867,109,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6,California,91
2012,4,12,22,6,2012/12/22,DL,19790,DL,N709DN,110,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34
2012,4,12,23,7,2012/12/23,DL,19790,DL,N932DN,116,11433,1143302,31295,DTW,"Detroit, MI",MI,26,Michigan,43
2012,4,11,14,3,2012/11/14,AA,19805,AA,N332AA,117,12478,1247802,31703,JFK,"New York, NY",NY,36,New York,22
2012,4,12,19,3,2012/12/19,FL,20437,FL,N921AT,118,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34
2012,4,12,9,7,2012/12/9,HA,19690,HA,N478HA,119,12758,1275803,32758,KOA,"Kona, HI",HI,15,Hawaii,2
2012,4,12,21,5,2012/12/21,AS,19930,AS,N764AS,121,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93
2012,4,12,4,2,2012/12/4,HA,19690,HA,N475HA,122,12173,1217301,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2
2012,4,12,25,2,2012/12/25,F9,20436,F9,N914FR,124,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
2012,4,12,5,3,2012/12/5,B6,20409,B6,N603JB,125,12478,1247802,31703,JFK,"New York, NY",NY,36,New York,22
2012,4,12,20,4,2012/12/20,AS,19930,AS,N303AS,128,11630,1163002,31517,FAI,"Fairbanks, AK",AK,2,Alaska,1
2012,4,12,6,4,2012/12/6,AA,19805,AA,N398AA,129,13303,1330303,32467,MIA,"Miami, FL",FL,12,Florida,33
2012,4,12,22,6,2012/12/22,UA,19977,UA,N33209,130,14908,1490803,32575,SNA,"Santa Ana, CA",CA,6,California,91
2012,4,12,22,6,2012/12/22,B6,20409,B6,N506JB,132,14635,1463502,31714,RSW,"Fort Myers, FL",FL,12,Florida,33
2012,4,12,7,5,2012/12/7,AS,19930,AS,N514AS,137,14057,1405702,34057,PDX,"Portland, OR",OR,41,Oregon,92
2012,4,12,24,1,2012/12/24,AS,19930,AS,N318AS,143,14057,1405702,34057,PDX,"Portland, OR",OR,41,Oregon,92
2012,4,12,1,6,2012/12/1,UA,19977,UA,N77066,144,12173,1217301,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2
2012,4,12,7,5,2012/12/7,UA,19977,UA,N77066,145,12264,1226402,30852,IAD,"Washington, DC",VA,51,Virginia,38
2012,4,12,29,6,2012/12/29,DL,19790,DL,N974DL,151,11278,1127802,30852,DCA,"Washington, DC",VA,51,Virginia,38
2012,4,12,17,1,2012/12/17,AS,19930,AS,N765AS,152,13970,1397002,33970,OTZ,"Kotzebue, AK",AK,2,Alaska,1
2012,4,12,21,5,2012/12/21,FL,20437,FL,N940AT,153,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34
2012,4,12,22,6,2012/12/22,FL,20437,FL,N987AT,160,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34
2012,4,12,29,6,2012/12/29,AA,19805,AA,N5DHAA,161,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6,California,91
2012,4,12,5,3,2012/12/5,FL,20437,FL,N946AT,162,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34
2012,4,12,30,7,2012/12/30,HA,19690,HA,N475HA,163,13830,1383002,33830,OGG,"Kahului, HI",HI,15,Hawaii,2
2012,4,12,7,5,2012/12/7,WN,19393,WN,N528SW,176,13495,1349502,33495,MSY,"New Orleans, LA",LA,22,Louisiana,72
2012,4,12,4,2,2012/12/4,WN,19393,WN,N786SW,179,15304,1530402,33195,TPA,"Tampa, FL",FL,12,Florida,33
2012,4,12,24,1,2012/12/24,WN,19393,WN,N784SW,180,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85
2012,4,12,20,4,2012/12/20,DL,19790,DL,N961DL,181,12953,1295302,31703,LGA,"New York, NY",NY,36,New York,22
2012,4,12,22,6,2012/12/22,FL,20437,FL,N924AT,183,10821,1082103,30852,BWI,"Baltimore, MD",MD,24,Maryland,35
2012,4,12,19,3,2012/12/19,WN,19393,WN,N349SW,184,12191,1219102,31453,HOU,"Houston, TX",TX,48,Texas,74
2012,4,12,31,1,2012/12/31,F9,20436,F9,N213FR,192,11267,1126702,31267,DAY,"Dayton, OH",OH,39,Ohio,44
2012,4,12,17,1,2012/12/17,F9,20436,F9,N213FR,195,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6,California,91
2012,4,12,14,5,2012/12/14,WN,19393,WN,N910WN,200,14908,1490803,32575,SNA,"Santa Ana, CA",CA,6,California,91
2012,4,12,11,2,2012/12/11,HA,19690,HA,N487HA,201,12402,1240203,32402,ITO,"Hilo, HI",HI,15,Hawaii,2
2012,4,12,12,3,2012/12/12,HA,19690,HA,N479HA,202,12173,1217301,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2
2012,4,12,14,5,2012/12/14,B6,20409,B6,N643JB,204,12954,1295402,32575,LGB,"Long Beach, CA",CA,6,California,91
2012,4,12,17,1,2012/12/17,HA,19690,HA,N487HA,205,13830,1383002,33830,OGG,"Kahului, HI",HI,15,Hawaii,2
2012,4,12,13,4,2012/12/13,WN,19393,WN,N624SW,208,14122,1412202,30198,PIT,"Pittsburgh, PA",PA,42,Pennsylvania,23
2012,4,12,2,7,2012/12/2,HA,19690,HA,N493HA,209,12758,1275803,32758,KOA,"Kona, HI",HI,15,Hawaii,2
2012,4,12,30,7,2012/12/30,VX,21171,VX,N522VA,211,13930,1393002,30977,ORD,"Chicago, IL",IL,17,Illinois,41
2012,4,12,25,2,2012/12/25,F9,20436,F9,N933FR,219,10423,1042302,30423,AUS,"Austin, TX",TX,48,Texas,74
2012,4,12,28,5,2012/12/28,DL,19790,DL,N924DN,220,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
2012,4,12,12,3,2012/12/12,UA,19977,UA,N413UA,221,13204,1320402,31454,MCO,"Orlando, FL",FL,12,Florida,33
2012,4,12,17,1,2012/12/17,B6,20409,B6,N183JB,222,13204,1320402,31454,MCO,"Orlando, FL",FL,12,Florida,33
2012,4,12,12,3,2012/12/12,B6,20409,B6,N206JB,223,11278,1127802,30852,DCA,"Washington, DC",VA,51,Virginia,38
2012,4,12,16,7,2012/12/16,UA,19977,UA,N540UA,224,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6,California,91
2012,4,12,30,7,2012/12/30,US,20355,US,N647AW,225,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13
2012,4,12,1,6,2012/12/1,UA,19977,UA,N519UA,230,14771,1477101,32457,SFO,"San Francisco, CA",CA,6,California,91
2012,4,12,2,7,2012/12/2,AA,19805,AA,N5FCAA,231,13303,1330303,32467,MIA,"Miami, FL",FL,12,Florida,33
2012,4,12,29,6,2012/12/29,UA,19977,UA,N401UA,235,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
2012,4,11,17,6,2012/11/17,AA,19805,AA,N5EDAA,240,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6,California,91
2012,4,12,3,1,2012/12/3,WN,19393,WN,N8325D,244,14893,1489302,33192,SMF,"Sacramento, CA",CA,6,California,91
2012,4,12,27,4,2012/12/27,UA,19977,UA,N526UA,245,10821,1082103,30852,BWI,"Baltimore, MD",MD,24,Maryland,35
2012,4,12,7,5,2012/12/7,AS,19930,AS,N760AS,246,14057,1405702,34057,PDX,"Portland, OR",OR,41,Oregon,92
2012,4,12,27,4,2012/12/27,WN,19393,WN,N901WN,247,13232,1323202,30977,MDW,"Chicago, IL",IL,17,Illinois,41
2012,4,12,9,7,2012/12/9,FL,20437,FL,N928AT,251,11066,1106602,31066,CMH,"Columbus, OH",OH,39,Ohio,44
