Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City,State,Zip,Inspection Date,Inspection Type,Results,Violations,Latitude,Longitude,Location
2609515,ASAL RESTAURANT,ASAL RESTAURANT,0.0,Restaurant,Risk 1 (High),4748 N KENNETH AVE,CHICAGO,IL,60630.0,12/17/2024,Short Form Complaint,No Entry,3. MANAGEMENT; FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE; RESPONSIBILITIES AND REPORTING - Comments:  2-201.11 OBSERVED NO EMPLOYEE HEALTH POLICY ON SITE FOR FOOD HANDLERS. PRIORITY FOUNDATION NO CITATION ISSUED 7-38-010 | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments:  2-501.11 OBSERVED NO BODILY FLUID CLEAN UP PROCEDURE OR KIT ON SITE. MUST PROVIDE. PRIORITY FOUNDATION VIOLATION NO CITATION ISSUED 7-38-005 | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: 5-205.11 OBSERVED ONLY HANDWASHING SINK IN FACILITY NOT IN OPERATION AND POORLY MAINTAINED. WITH HOT AND COLD RUNNING WATER. OBSERVED REAR PREP AREA; CONTAINING WALK IN COOLER; WITH NO CONVENIENT OR ACCESSIBLE HANDWASHING SINK. INSTALL HAND SINK CONVENIENT AND ACCESSIBLE TO REAR PREP ROOM. PRIORITY FOUNDATION VIOLATION 7-38-030(C) | 35. APPROVED THAWING METHODS USED - Comments: 3-501.13 OBSERVED 10LBS OF CHICKEN IMPROPERLY THAWING ON COUNTER. INSTRUCTED TO RETURN THAWING CHICKEN TO WALK IN COOLER TO THAW PROPERLY. | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: 4-204.112  (B)OBSERVED ALL REFRIGERATION UNITS NEED INTERNAL THERMOMETERS. INSTALL AND MAINTAIN. | 38. INSECTS; RODENTS; & ANIMALS NOT PRESENT - Comments: 6-501.111 OBSERVED NO PEST CONTROL LOG BOOK ON SITE. MUST PROVIDE PROOF OF LICENSED 6-501.111PEST CONTROL SERVICE CONTRACT AND MAINTAIN PEST CONTROL LOGBOOK. PRIORITY FOUNDATION VIOLATION 7-38-020(C) | 48. WAREWASHING FACILITIES: INSTALLED; MAINTAINED & USED; TEST STRIPS - Comments:  4-302.14 OBSERVED NO SANITIZER TEST STRIPS FOR 3 COMPARTMENT SINK. MUST PROVIDE TEST SANITIZER TEST STRIPS ON SITE AT ALL TIMES. PRIORITY FOUNDATION VIOLATION 7-38-005 | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments:  5-205.15 OBSERVED LEAKING CONDITION UNDER FAR RIGHT COMPARTMENT OF 3 COMPARTMENT SINK. REPAIR AND MAINTAIN SINK. | 52. SEWAGE & WASTE WATER PROPERLY DISPOSED - Comments: 5-402.13 OBSERVED GREASE TRAP LOCATED WITHIN FLOOR DIRECTLY IN FRONT OF THE 3 COMPARTMENT SINK IN MAIN COOKING AREA ACTIVELY LEAKING ONTO MAIN FOOD PREP AREA FLOOR CONVEYING SEWAGE. PRIORITY VIOLATION 7-38-030 (C). | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: 5-501.15 NOTED DUMPSTER ONSITE WITHOUT LABEL NOR PROOF OF USEAGE BY THE FACILITY. INSTRUCTED TO PROVIDE CONTRACT FOR GARBAGE DISPOSAL COMPANY TO VERIFY DUMPSTER ON SITE IS BEING SERVICED. | 58. ALLERGEN TRAINING AS REQUIRED - Comments: 2-102.13 OBSERVED CERTIFED FOOD MANAGER NEEDS TO SHOW PROOF OF ALLERGEN CERTIFICATE.,41.96766784,-87.74018351,(41.967667844732325; -87.74018351190563)
585372,ST. ANDREWS GREEK ORTHODOX CHURCH,ST ANDREW'S GREEK ORTHODOX CHURCH,0.0,CHURCH/SPECIAL EVENTS,Risk 1 (High),5649 N Sheridan RD ,CHICAGO,IL,60660.0,06/14/2011,Canvass Re-Inspection,Pass,32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED; CONSTRUCTED AND MAINTAINED - Comments: INSTRUCTED TO REPAIR RUST ON REACH IN COOLER BOTTOM IN THE BAR.,41.98519355,-87.6550931,(41.98519355405598; -87.6550931004751)
491742,SALVATION ARMY,SALVATION ARMY,0.0,Restaurant,Risk 1 (High),506 N DES PLAINES ST ,CHICAGO,IL,60654.0,02/11/2011,Complaint Re-Inspection,Pass,33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN; FREE OF ABRASIVE DETERGENTS - Comments: A MORE DETAIL CLEANING OF THE FOLLOWING EQUIPMENT STOVES; DEEP FRYERS AND OVEN FIRST FLOOR KITCHEN. REFRIGERATORS AND COOKING EQUIPMENT BASEMENT KITCHEN. | 34. FLOORS: CONSTRUCTED PER CODE; CLEANED; GOOD REPAIR; COVING INSTALLED; DUST-LESS CLEANING METHODS USED - Comments: CLEAN FLOORS THROUGHOUT BOTH KICHENS AND EATING AREA ALONG WALLS AND CORNERS. | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED; FIXTURES SHIELDED - Comments: VIOLATION CORRECTED,41.89146936,-87.64452099,(41.891469364941656; -87.64452098569653)
2200871,Greater Rock Church,Greater Rock Church,0.0,Special Event,Risk 2 (Medium),718 S INDEPENDENCE BLVD,CHICAGO,IL,60624.0,08/14/2018,Canvass,Fail,3. MANAGEMENT; FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE; RESPONSIBILITIES AND REPORTING - Comments: 2-201.11 OBSERVED NO EMPLOYEE HEALTH POLICY PROVIDED ON THE PREMISES.  MANAGEMENT INSTRUCTED TO HAVE A SIGNED EMPLOYEE HEALTH POLICY FOR EACH EMPLOYEE.  PRIORITY FOUNDATION 7-38-010.  NO CITATION ISSUED. | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: 2-501.11 NO WRITTEN CLEAN-UP PROCEDURE PROVIDED FOR CLEAN-UP OF VOMIT AND DIARRHEAL EVENTS.  MANAGEMENT INSTRUCTED TO HAVE A CLEAN-UP PROCEDURE AND SUPPLIES.  PRIORITY FOUNDATION 7-38-005.  NO CITATION ISSUED. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: 5-203.11(A)  THE EXPOSED HANDWASHING SINK IN THE FOOD PREPARATION AREA IS NOT PROPERLY MAINTAINED.  THE DRAIN LINE IS MISSING FROM THE HANDWASHING SINK.  MANAGEMENT INSTRUCTED TO REPAIR THE HANDWASHING SINK AND MAINTAIN.  PRIORITY FOUNDATION 7-38-030(C).  NO CITATION ISSUED. | 38. INSECTS; RODENTS; & ANIMALS NOT PRESENT - Comments: 6-501.111 OBSERVED LIVE FRUIT FLIES IN THE FOOD PREP AND STORAGE AREA.  APPROXIMATELY 20 LIVE FRUIT FLIES WERE OBSERVED IN THESE AREAS.  ADDITIONAL PEST CONTROL SERVICE IS NEEDED TO MINIMIZE OR ELIMINATE THE PEST ACTIVITY.  PRIORITY FOUNDATION 7-38-020(A).  NO CITATION ISSUED. | 55. PHYSICAL FACILITIES INSTALLED; MAINTAINED & CLEAN - Comments: 6-501.12(A) CLEAN THE WALLS OF THE FOOD PREP AREA. | 55. PHYSICAL FACILITIES INSTALLED; MAINTAINED & CLEAN - Comments: 6-501.11 MUST PROVIDE CEILING TILES WHERE MISSING IN THE FOOD PREP AREA. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: 6-202.11(A) THE LIGHT FIXTURE IN THE FOOD PREP AREA MUST BE SHIELDED.  MUST SHIELD THE LIGHT FIXTURE.,41.8719398,-87.72045686,(41.87193979943327; -87.72045686348807)
2553613,BRASERITOS,BRASERITOS & BELLA ROMA,0.0,Restaurant,Risk 1 (High),4419 W FULLERTON AVE,CHICAGO,IL,60639.0,03/29/2022,Complaint,Fail,2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO CITY OF CHICAGO CERTIFIED FOOD MANAGER ON THE PREMISES NOR CITY OF CHICAGO FOOD MANAGER CERTIFICATE POSTED WHILE TCS FOODS (PORK; STEAK) WERE BEING PREPARED AND SERVED. INSTRUCTED MANAGEMENT THAT A CITY OF CHICAGO CERTIFIED FOOD MANAGER MUST BE PRESENT AT ALL TIMES WHILE TCS FOODS ARE BEING PREPARED OR SERVED. PRIORITY FOUNDATION 7-38-012. CITATION ISSUED. | 3. MANAGEMENT; FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE; RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO EMPLOYEE HEALTH POLICY ON SITE. INSTRUCTED TO PROVIDE AN EMPLOYEE HEALTH POLICY THAT INCLUDES A SIGNED ACKNOWLEDGEMENT FROM EACH EMPLOYEE. PRIORITY FOUNDATION 7-38-010. CITATION ISSUED. | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO VOMIT/DIARRHEA CLEANUP KIT OR WRITTEN PROCEDURES ON SITE AT TIME OF INSPECTION. INSTRUCTED MANAGEMENT TO PROVIDE. PRIORITY FOUNDATION 7-38-005. CITATION ISSUED.  | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HANDWASHING SINK IN THE FRONT FOOD DISPENSING/CASHIER AREA WHERE PASTRIES AREA SERVED FROM BEHIND THE COUNTER. INSTRUCTED MANAGEMENT THAT A HANDWASHING SINK MUST BE LOCATED TO ALLOW FOR CONVENIENT USE BY EMPLOYEES IN ALL FOOD DISPENSING AREAS; INSTRUCTED MANAGEMENT TO PROVIDE OR TO STOP SERVING FOOD AT THE FRONT CASHIER AREA. PRIORITY FOUNDATION 7-38-030(C). CITATION ISSUED. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: FOUND NO HANDWASHING SIGNAGE AT THE RESTROOM HANDWASHING SINKS. MUST PROVIDE. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO PAPER TOWELS AT THE REAR PREP/DISH AREA HANDWASHING SINK. ALL HANDWASHING SINKS MUST BE EQUIPPED WITH A HAND DRYING PROVISION AT ALL TIMES; INSTRUCTED TO PROVIDE. PRIORITY FOUNDATION 7-38-030(C). CITATION ISSUED. | 23. PROPER DATE MARKING AND DISPOSITION - Comments: OBSERVED PREPARED TCS FOODS (COOKED CHICKEN; PORK; POTATOES; AND RICE) HELD FOR OVER 24 HOURS WITHOUT DISCARD DATES. INSTRUCTED FACILITY TO PROVIDE DISCARD DATES FOR ANY PREPARED TCS FOODS HELD FOR OVER 24 HOURS. PRIORITY FOUNDATION 7-38-005. CITATION ISSUED. FOOD DISCARDED. | 44. UTENSILS; EQUIPMENT & LINENS: PROPERLY STORED; DRIED; & HANDLED - Comments: FOUND PLATES AND BOWLS UNCOVERED AND UNPROTECTED FROM MISCELLANEOUS SOURCES OF CONTAMINATION AT THE BUFFET IN THE DINING AREA. INSTRUCTED MANAGEMENT TO INVERT TABLEWARE OR COVER. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: FOUND A HEAVY ACCUMULATION OF OLD FOOD AND DIRT DEBRIS INSIDE THE CHEST FREEZER LOCATED IN THE BASEMENT. INSTRUCTED TO CLEAN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED; SUPPLIED; & CLEANED - Comments: OBSERVED NO COVERED RECEPTACLE (WASTE CAN WITH LID) INSIDE WOMENS WASHROOM. INSTRUCTED TO PROVIDE COVERED WASTE RECEPTACLE FOR FEMININE HYGIENE PRODUCTS.  | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: OBSERVED THE OUTSIDE GARBAGE DUMPSTER OVERFLOWING WITH TRASH; PREVENTING LID CLOSURE. ALSO FOUND PLASTIC AND OTHER TRASH ON THE GROUND SURROUNDING THE OUTSIDE DUMPSTER. INSTRUCTED MANAGEMENT TRASH MUST BE STORED INSIDE GARBAGE RECEPTACLE SO THAT IT IS INACCESSIBLE TO PESTS. PRIORITY FOUNDATION VIOLATION 7-38-020(B). CITATION ISSUED. | 55. PHYSICAL FACILITIES INSTALLED; MAINTAINED & CLEAN - Comments: MUST REPAIR THE HOLE IN THE WALL BY THE UTILITY SINK IN THE BASEMENT. | 58. ALLERGEN TRAINING AS REQUIRED - Comments: FOUND NO PROOF OF ALLERGEN TRAINING ON SITE FOR ALL CITY OF CHICAGO FOOD MANAGERS. INSTRUCTED MANAGEMENT THAT ALL CITY OF CHICAGO FOOD MANAGERS MUST COMPLETE ALLERGEN TRAINING AND KEEP CERTIFICATE ON SITE.,41.92424573,-87.73733169,(41.92424572942599; -87.73733169173367)
2595326,EPIPHANY PARISH/CHURCH,EPIPHANY PARISH/CHURCH,0.0,Special Event,Risk 2 (Medium),2524 S KEELER AVE,CHICAGO,IL,60623.0,05/29/2024,Canvass,Pass,38. INSECTS; RODENTS; & ANIMALS NOT PRESENT - Comments: OBSERVED ENTRY DOOR OF FACILITY WITH AT LEAST 1/4 INCH GAP BETWEEN DOOR AND FLOORS. INSTRUCTED TO RODENT-PROOF DOOR. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE; PROPERLY DESIGNED; CONSTRUCTED & USED - Comments: OBSERVED RUSTED SHELVING UNITS INSIDE BOTH 2-DOOR COOLING UNITS. INSTRUCTED TO REPLACE AND MANTAIN EQUIPMENT. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE; PROPERLY DESIGNED; CONSTRUCTED & USED - Comments: OBSERVED CUTTING BOARDS WITH DARK STAINS AND DEEP CUTS. INSTRUCTED TO REPLACE. | 55. PHYSICAL FACILITIES INSTALLED; MAINTAINED & CLEAN - Comments: OBSERVED LARGE HOLE IN WALL LOCATED IN HALLWAY OUTSIDE EXIT DOOR. INSTRUCTED TO ENCLOSE TO PREVENT PEST ENRY. | 55. PHYSICAL FACILITIES INSTALLED; MAINTAINED & CLEAN - Comments: OBSERVED MISCELLANEUS DEBRIS BEHIND 2 DOOR COOLING ON FLOOR UNIT BEHIND BAR COUNTERTOP. INSTRUCTED TO CLEAN. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: INSTRUCTED TO REPLACE BURNED-OUT LIGHT BULBS UNDERNEATH VENTILATION HOOD AND MAINTAIN.,41.84514342,-87.72958951,(41.84514342309917; -87.72958950701624)
2355720,OMBUDSMAN ROSELAND,OMBUDSMAN ROSELAND,0.0,School,Risk 3 (Low),10928 S HALSTED ST ,CHICAGO,IL,60628.0,12/20/2019,Canvass Re-Inspection,Fail,2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments:  PIC OR FOOD HANDLER PREPARING FOOD AT THIS TIME HAS NO VALID CITY OF CHICAGO FOOD SANITATION CERTIFICATE. INSTRUCTED TO POST A VALID CITY OF CHICAGO FOOD SANITATION CERTIFICATE. PRIORITY FOUNDATION ISSUED 7-38-012 | 3. MANAGEMENT; FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE; RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO EMPLOYEE HEALTH POLICY FOR EMPLOYEE HEALTH. INSTRUCTED PIC TO PROVIDE. PRIORITY FOUNDATION | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO EMPLOYEE PROCEDURE FOR VOMITING AND DIARRHEAL EVENTS. INSTRUCTED TO PROVIDE WITH ALL THE NECESSARY ITEMS OUTLINED IN POLICY INCLUDING DISPOSABLE GLOVES; FACE MASK;DISPOSABLE MOP AND APPROPRIATE SANITIZER TO KILL THE NOROVIRUS. PRIORITY FOUNDATION. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HANDWASHING SINKS AT HAND SINKS.MUST PROVIDE | 38. INSECTS; RODENTS; & ANIMALS NOT PRESENT - Comments: REPEAT SEE VIOLATION #59 | 48. WAREWASHING FACILITIES: INSTALLED; MAINTAINED & USED; TEST STRIPS - Comments: SEE VIOLATION #59 REPEAT | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED 3- COMPARTMENT SINK NOT CLEANED/ MAINTAINED. MUST CLEAN/ MAINTAINED. | 50. HOT & COLD WATER AVAILABLE; ADEQUATE PRESSURE - Comments:  UPON REINSPECTION STILL OBSERVED NO HOT RUNNING WATER THROUGH OUT PREMISES AT ALL HANDWASHING SINKS AND 3- COMPARTMENT SINK. HOT WATER TEMPERATURE RANGING FROM 66.0F TO 86.0F. MUST REPAIR AND PROVIDE HOT WATER. AT 3- COMPARTMENT 110.F AND HAND SINK A MINIMIUM OF 100.0F. PRIORITY VIOLATION ISSUED 7-38-030(C)  | 59. PREVIOUS PRIORITY FOUNDATION VIOLATION CORRECTED - Comments: OBSERVED PREVIOUS PRIORITY VIOLATIONS;#38; AND 48 NOT CORRECTED. INSTRUCTED TO CLEAN/ SANITIZE AREAS; CONTACT PEST CONTROL. MUST PROVIDE CHLORINE SANITIZING CHEMICAL TESTING DEVICE. PRIORITY VIOLATION ISSUED 7-42-090,41.69511352,-87.64261132,(41.695113521218175; -87.64261132457379)
1938166,ST STANISLAUS B&M CHURCH,ST. STANISLAUS CHURCH,0.0,Special Event,Risk 2 (Medium),5352 W BELDEN AVE ,CHICAGO,IL,60639.0,07/07/2016,Canvass,Pass,35. WALLS; CEILINGS; ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR; SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: OBSERVED THE CEILING IN THE LADIES RESTROOM IN POOR REPAIR REAR WINDOW/STALL; INSTRUCTED TO REPAIR.,41.92233137,-87.76071251,(41.92233137131519; -87.76071250983351)
2166632,CHARTWELLS,CICS-WASHINGTON PARK BUILDING A,0.0,CHARTER SCHOOL,Risk 1 (High),115 E 61ST ST ,CHICAGO,IL,60637.0,04/11/2018,Canvass,Pass w/ Conditions,21. * CERTIFIED FOOD MANAGER ON SITE WHEN POTENTIALLY HAZARDOUS FOODS ARE  PREPARED AND SERVED - Comments: NO CITY OF CHICAGO FOOD SNATIATION CERTIFICATE ON PREMISES.  MANAGER MUST HAVE A VALID CITY OF CHICAGO FOOD SANITATION CERTIFICATE ON PREMISES AND POSTED AS REQUIRED.  SERIOUS VIOLATION 7-38-012 ISSUED. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: FOUND NO COLD RUNNING WATER AT THE FIRST SINK IN THE GIRLS WASHROOM IN THE BASEMENT CLOSEST TO THE STAIRS; MUST PROVIDE.,41.7836727,-87.62149753,(41.78367270489786; -87.62149753460258)
2473154,POTASH BROS. SUPERMARKET,POTASH BROS. SUPERMARKET,164.0,Grocery Store,Risk 1 (High),1525 N CLARK ST,CHICAGO,IL,60610.0,01/26/2021,Canvass,Pass w/ Conditions,37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: OBSERVED GRAB & GO MUFFINS IN COOLER MISSING ALLERGEN/INGREDIENT INFORMATION MISSING FROM FOOD PACKAGING. INSTRUCTED TO PROVIDE INFORMATION ON ALL ITEMS PREPARED AND PACKAGED ONSITE AND MAINTAIN.  PRIORITY FOUNDATION VIOLATION #7-38-005. NO CITATION ISSUED. | 43. IN-USE UTENSILS: PROPERLY STORED - Comments: FOUND KNIVES STORED IMPROPERLY BETWEEN COOKING EQUIPMENT; INSTRUCTED TO STORE KNIVES PROPERLY TO PREVENT CONTAMINATION; AND MAINTAIN.  | 44. UTENSILS; EQUIPMENT & LINENS: PROPERLY STORED; DRIED; & HANDLED - Comments: MUST INVERT PLATES STORED ON RACK IN DISHWASHING AREA TO PREVENT CONTAMINATION; INSTRUCTED TO MAINTAIN.  | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: MUST DETAIL CLEAN DRIED FOOD & GREASE DEBRIS ON THE EXTERIOR CONTACT SURFACE OF ALL COOKING EQUIPMENT IN THE FOOD PREP AREA. INSTRUCTED TO MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: MUST DETAIL CLEAN LOOSE FOOD DEBRIS ON LOWER SHELVES OF PREP TABLES IN THE PREP AREA; INSTRUCTED TO MAINTAIN.  | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: MUST REPAIR LEAKY SOAP DISPENSER ABOVE 3-COMP SINK IN DISH AREA; INSTRUCTED TO MAINTAIN.  | 55. PHYSICAL FACILITIES INSTALLED; MAINTAINED & CLEAN - Comments: MUST DETAIL CLEAN LOOSE DEBRIS FROM FLOORS THROUGHOUT PREP AREA UNDER HEAVY EQUIPMENT; BASEMENT STORAGE; AND WALK IN FREEZER & COOLER IN BASEMENT.  | 55. PHYSICAL FACILITIES INSTALLED; MAINTAINED & CLEAN - Comments: MUST DETAIL CLEAN EXCESSIVE DUST ACCUMULATION FROM CEILING VENTS ABOVE PREP TABLES IN PREP AREA; INSTRUCTED TO MAINTAIN.  | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: MUST REPLACE BURNED OUT LIGHTS IN HOOD FILTER ABOVE COOKING EQUIPMENT; INSTRUCTED TO MAINTAIN.,41.91011794,-87.63149089,(41.91011794488742; -87.6314908914178)
